CHARTER,SNAME,DNAME,CNAME,API12B,ST_RANK,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,PCT_MR,MEALS,P_GATE,P_MIGED,P_EL,P_RFEP,P_DI,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED
,Independent Study Program,Mountain View Whisman,Santa Clara,988,10,0,0,11,0,11,0,68,11,5,37,0,0,5,0,,,,95,0,6,6,33,56,4.39
,Joaquin Miller Middle,Cupertino Union,Santa Clara,987,10,1,0,86,1,1,0,11,0,4,13,0,1,25,5,N/A,30,32,92,0,1,4,20,75,4.67
,James Leitch Elementary,Fremont Unified,Alameda,987,10,1,0,80,4,2,0,9,3,7,0,0,51,0,4,26,N/A,N/A,98,1,4,4,33,58,4.42
,Garden Gate Elementary,Cupertino Union,Santa Clara,986,10,0,0,92,0,3,0,4,1,3,0,0,3,28,4,25,31,N/A,98,1,2,4,23,71,4.62
,William Hopkins Junior High,Fremont Unified,Alameda,986,10,0,0,88,1,2,0,6,1,5,52,0,3,34,5,N/A,N/A,30,99,0,2,5,23,69,4.58
,Jack L. Weaver Elementary,Los Alamitos Unified,Orange,986,10,3,0,23,2,20,0,47,4,6,17,0,1,6,6,24,34,N/A,98,1,1,11,38,49,4.33
,L. P. Collins Elementary,Cupertino Union,Santa Clara,985,10,0,0,88,1,1,0,9,1,1,0,0,0,24,5,20,29,N/A,96,0,0,2,19,78,4.75
,John F. Kennedy Middle,Cupertino Union,Santa Clara,985,10,0,0,78,0,2,0,18,1,2,13,0,1,15,4,N/A,30,28,93,0,1,3,20,76,4.7
,La Jolla Elementary,San Diego Unified,San Diego,985,10,0,0,6,0,17,0,70,7,7,52,0,9,8,6,25,27,N/A,99,2,2,5,31,60,4.47
,Sleepy Hollow Elementary,Orinda Union Elementary,Contra Costa,984,10,0,1,14,0,3,0,78,0,0,10,0,1,3,8,19,25,N/A,98,0,1,2,55,42,4.37
,Robert C. Fisler Elementary,Fullerton Elementary,Orange,984,10,1,1,75,6,7,0,7,3,7,21,0,20,24,3,28,32,29,97,0,2,9,50,39,4.26
,Foothills Middle,Arcadia Unified,Los Angeles,984,10,2,0,57,3,14,0,25,0,12,10,0,3,18,7,N/A,23,25,97,3,5,7,36,49,4.25
,Balboa Gifted/High Ability Magnet Elemen,Los Angeles Unified,Los Angeles,984,10,3,0,32,5,19,0,41,0,23,71,0,1,8,3,13,12,N/A,97,2,4,10,41,44,4.21
,Oak Avenue Elementary,Los Altos Elementary,Santa Clara,983,10,0,0,34,1,4,0,48,12,2,10,0,2,4,10,23,27,N/A,99,0,0,2,20,77,4.74
,Sam H. Lawson Middle,Cupertino Union,Santa Clara,983,10,1,0,79,1,3,0,15,0,3,9,0,1,22,6,N/A,28,29,94,0,1,4,25,69,4.62
,Sage Canyon,Del Mar Union Elementary,San Diego,982,10,1,0,25,1,4,0,66,3,1,0,0,2,9,12,19,26,N/A,99,0,0,2,30,68,4.66
,Jensen Ranch Elementary,Castro Valley Unified,Alameda,982,10,4,0,58,4,7,0,22,5,5,8,0,16,9,5,24,32,N/A,100,0,2,10,49,39,4.24
,Covington Elementary,Los Altos Elementary,Santa Clara,981,10,1,1,32,1,6,0,48,10,3,16,0,5,11,11,20,28,N/A,98,0,1,2,25,72,4.68
,Ardis G. Egan Junior High,Los Altos Elementary,Santa Clara,981,10,1,0,25,0,9,0,55,8,4,19,0,4,11,4,N/A,N/A,23,98,1,3,2,21,73,4.61
,Joshua Chadbourne Elementary,Fremont Unified,Alameda,981,10,1,0,86,0,2,0,8,2,6,18,0,12,25,8,28,27,N/A,98,0,3,4,23,70,4.61
,Windemere Ranch Middle,San Ramon Valley Unified,Contra Costa,981,10,2,0,70,5,6,0,11,6,2,19,0,1,17,3,N/A,30,28,94,0,2,5,36,57,4.5
,Stevenson Ranch Elementary,Newhall,Los Angeles,981,10,3,0,17,3,14,0,56,7,6,14,0,8,5,7,24,28,N/A,100,1,2,10,46,41,4.25
,Ethan B. Allen Elementary,Garden Grove Unified,Orange,981,10,0,0,81,1,10,0,8,0,37,44,0,17,49,5,28,34,N/A,27,1,11,14,51,24,3.86
,Abraham Lincoln Elementary,Cupertino Union,Santa Clara,980,10,0,0,88,1,2,0,8,1,1,0,0,2,29,8,24,31,N/A,93,1,1,3,18,77,4.7
,James S. Fugman Elementary,Clovis Unified,Fresno,980,10,2,1,20,2,15,0,58,2,12,3,0,2,6,4,25,32,N/A,98,1,4,13,33,49,4.26
,Villa Park Elementary,Orange Unified,Orange,980,10,0,0,12,1,17,1,65,2,10,8,0,5,1,6,31,33,N/A,95,1,13,26,40,21,3.66
,Turtle Rock Elementary,Irvine Unified,Orange,980,10,2,0,51,1,8,0,32,6,10,28,0,15,13,5,30,32,N/A,0,0,0,0,0,0,
,Argonaut Elementary,Saratoga Union Elementary,Santa Clara,979,10,0,0,82,0,3,0,11,5,1,100,0,10,23,8,21,30,N/A,100,0,0,2,18,80,4.78
,Redwood Middle,Saratoga Union Elementary,Santa Clara,979,10,0,0,55,1,4,0,34,6,2,100,0,2,11,10,N/A,26,26,100,0,1,2,23,74,4.7
,Hidden Hills Elementary,San Ramon Valley Unified,Contra Costa,979,10,1,0,64,5,6,0,15,8,0,10,0,7,10,4,26,30,N/A,100,0,0,3,42,56,4.53
,Wonderland Avenue Elementary,Los Angeles Unified,Los Angeles,979,10,4,0,29,1,3,0,62,0,11,32,0,8,10,5,15,16,N/A,57,0,5,6,48,41,4.24
,R. I. Meyerholz Elementary,Cupertino Union,Santa Clara,978,10,0,0,88,0,2,0,9,1,2,0,0,4,34,6,24,29,N/A,94,0,1,4,21,74,4.66
D,Gilroy Prep,Gilroy Unified,Santa Clara,978,10,2,0,11,3,61,0,21,0,60,0,0,69,0,6,30,N/A,N/A,98,36,15,11,21,16,2.67
D,American Indian Public Charter School II,Oakland Unified,Alameda,978,10,5,1,84,0,8,0,1,0,91,0,0,16,59,2,N/A,2,N/A,14,40,14,26,21,0,2.28
,Carmel Valley Middle,San Dieguito Union High,San Diego,977,10,1,0,32,2,6,0,58,0,4,16,0,5,6,8,N/A,N/A,31,97,1,2,5,31,61,4.5
,West Hillsborough,Hillsborough City Elementary,San Mateo,977,10,0,0,45,1,2,0,49,2,0,5,0,3,5,12,19,19,N/A,99,0,2,6,32,60,4.49
,Baldwin Stocker Elementary,Arcadia Unified,Los Angeles,977,10,2,0,82,3,6,0,8,0,10,2,0,28,20,3,25,32,N/A,97,1,4,9,44,41,4.19
,Ocean Air,Del Mar Union Elementary,San Diego,976,10,0,0,41,1,3,1,52,2,2,0,0,3,12,9,20,27,N/A,100,0,1,3,23,73,4.68
,Live Oak Elementary,San Ramon Valley Unified,Contra Costa,976,10,2,0,73,5,4,0,8,6,2,10,0,9,14,3,26,31,N/A,97,0,1,3,35,62,4.57
,Donald L. Rheem Elementary,Moraga Elementary,Contra Costa,976,10,1,0,19,3,13,0,52,11,2,0,0,2,9,9,22,30,N/A,99,0,3,6,33,59,4.47
,Fairburn Avenue Elementary,Los Angeles Unified,Los Angeles,976,10,3,1,21,0,5,0,70,0,9,31,0,7,7,9,16,9,N/A,37,2,2,6,29,60,4.43
,Pacific Rim Elementary,Carlsbad Unified,San Diego,976,10,1,0,9,1,9,1,72,5,6,38,0,3,2,8,32,31,N/A,97,1,1,13,39,46,4.29
,Silver Oak Elementary,Evergreen Elementary,Santa Clara,976,10,3,0,46,3,7,0,39,1,4,12,0,6,12,2,23,31,N/A,100,1,7,17,46,29,3.95
,William Regnart Elementary,Cupertino Union,Santa Clara,975,10,1,0,83,0,2,0,12,1,1,0,0,3,26,10,23,30,N/A,97,1,1,1,17,81,4.76
,Teach Elementary,San Luis Coastal Unified,San Luis Obispo,975,10,1,0,9,1,8,0,78,3,17,0,0,1,1,3,N/A,30,N/A,99,0,1,9,26,64,4.53
,La Canada Elementary,La Canada Unified,Los Angeles,975,10,1,0,26,2,8,0,54,7,1,13,0,8,8,12,19,32,N/A,100,0,2,6,31,62,4.52
,California Academy of Mathematics and Sc,Long Beach Unified,Los Angeles,975,10,16,0,17,12,40,1,13,2,49,0,0,8,29,0,N/A,N/A,34,89,10,16,16,33,25,3.47
,Duveneck Elementary,Palo Alto Unified,Santa Clara,974,10,1,0,38,0,6,3,48,4,5,3,0,9,4,5,21,24,N/A,100,0,1,3,12,83,4.78
,Cornerstone at Pedregal Elementary,Palos Verdes Peninsula Unified,Los Angeles,974,10,2,0,31,1,3,0,58,6,1,5,0,7,2,9,22,33,N/A,100,0,0,3,31,66,4.63
,Forest Park Elementary,Fremont Unified,Alameda,974,10,2,0,85,4,1,0,5,2,6,12,0,13,26,4,28,29,N/A,98,1,5,4,32,59,4.44
Y,American Indian Public Charter,Oakland Unified,Alameda,974,10,16,2,50,1,24,2,1,0,69,0,0,5,56,3,N/A,1,N/A,59,16,53,16,12,3,2.32
,Piedmont Middle,Piedmont City Unified,Alameda,973,10,2,0,18,2,3,0,71,3,0,10,0,3,5,12,N/A,21,25,100,0,1,2,26,71,4.66
,Stevens Creek Elementary,Cupertino Union,Santa Clara,973,10,0,0,70,1,3,0,25,0,3,0,0,3,22,9,20,29,N/A,93,0,1,5,25,70,4.62
,,Hillsborough City Elementary,San Mateo,973,B,0,0,27,2,3,0,67,1,0,10,0,2,4,11,18,22,21,99,0,1,5,32,61,4.53
,Camino Pablo Elementary,Moraga Elementary,Contra Costa,973,10,2,0,13,1,8,0,67,9,1,0,0,2,1,10,22,26,N/A,96,0,0,3,41,56,4.52
,Huntington Middle,San Marino Unified,Los Angeles,973,10,1,0,57,0,8,1,31,3,0,0,0,3,8,7,N/A,31,29,91,0,2,5,37,56,4.47
,Wedgeworth Elementary,Hacienda la Puente Unified,Los Angeles,973,10,1,0,52,4,33,0,3,6,42,14,0,19,12,1,20,29,N/A,91,4,11,22,51,11,3.52
,Beach Elementary,Piedmont City Unified,Alameda,972,10,2,0,14,0,5,0,60,19,0,8,0,2,3,10,19,24,N/A,98,0,0,4,21,74,4.69
,Montclair Elementary,Oakland Unified,Alameda,972,10,14,0,9,1,9,0,56,10,4,36,0,3,2,2,24,31,N/A,48,1,4,8,38,48,4.29
,Georgina P. Blach Junior High,Los Altos Elementary,Santa Clara,971,10,1,0,21,1,6,0,61,10,2,19,0,2,5,12,N/A,N/A,22,99,1,1,2,27,69,4.62
,Fred E. Weibel Elementary,Fremont Unified,Alameda,971,10,1,0,79,2,4,0,10,4,5,14,0,11,20,4,26,28,N/A,99,1,2,4,21,71,4.6
,Opal Robinson Elementary,Manhattan Beach Unified,Los Angeles,971,10,0,0,6,1,8,0,74,10,0,2,0,1,0,13,22,27,N/A,99,0,0,3,40,57,4.55
Y,Canyon Elementary,Los Angeles Unified,Los Angeles,971,10,7,0,9,1,7,1,74,0,4,15,0,1,0,12,11,7,N/A,8,0,0,26,26,48,4.22
,Los Coyotes Elementary,Centralia Elementary,Orange,971,10,3,0,44,7,17,1,20,8,19,5,0,14,16,5,28,30,N/A,100,1,7,21,49,23,3.86
,Solana Pacific Elementary,Solana Beach Elementary,San Diego,970,10,1,0,32,2,4,0,60,1,3,22,0,5,10,11,N/A,24,N/A,96,0,2,5,27,65,4.55
,Williams Elementary,San Jose Unified,Santa Clara,970,10,1,0,52,1,5,0,39,1,2,27,0,9,13,6,27,30,N/A,96,0,1,6,37,57,4.49
,Simonds Elementary,San Jose Unified,Santa Clara,970,10,2,1,32,1,6,0,55,2,2,30,0,6,11,6,28,31,N/A,95,0,0,7,41,52,4.44
,Woodside Elementary,Woodside Elementary,San Mateo,970,10,2,0,4,0,11,1,75,4,8,0,0,6,1,11,16,17,9,97,1,5,7,29,57,4.36
,,Woodside Elementary,San Mateo,970,B,2,0,4,0,12,1,75,4,9,0,0,6,1,11,16,17,9,97,1,5,7,29,57,4.36
,Stone Creek Elementary,Irvine Unified,Orange,970,10,2,0,35,2,11,1,43,5,8,14,0,12,10,8,31,35,N/A,0,0,0,0,0,0,
,,Saratoga Union Elementary,Santa Clara,969,B,0,0,55,0,3,0,34,7,2,99,0,5,13,12,19,27,26,100,0,1,3,23,74,4.69
,,Los Altos Elementary,Santa Clara,969,B,1,0,28,1,8,0,52,10,4,14,0,6,8,10,22,26,23,99,1,2,2,23,71,4.62
,Crocker Middle,Hillsborough City Elementary,San Mateo,969,10,0,0,29,2,2,0,66,0,0,17,0,0,4,7,N/A,22,21,99,0,1,4,30,65,4.59
Y,Santa Rosa Accelerated Charter,Santa Rosa City Schools,Sonoma,969,10,1,0,15,0,6,0,70,9,1,37,0,1,0,3,N/A,32,N/A,99,0,0,4,36,60,4.56
,Louis E. Stocklmeir Elementary,Cupertino Union,Santa Clara,969,10,1,0,66,1,5,0,25,0,4,0,0,4,26,7,20,31,N/A,93,1,3,4,27,65,4.53
,Grand View Elementary,Manhattan Beach Unified,Los Angeles,969,10,0,0,3,0,8,0,74,14,1,4,0,1,0,10,23,29,N/A,99,0,1,2,38,58,4.52
,Silver Spur Elementary,Palos Verdes Peninsula Unified,Los Angeles,969,10,0,0,19,1,6,1,63,10,1,4,0,3,1,11,24,31,N/A,99,0,1,4,43,52,4.47
,La Entrada Middle,Las Lomitas Elementary,San Mateo,969,10,1,0,11,0,10,1,71,6,2,18,0,2,2,9,N/A,1,2,99,2,3,6,35,54,4.37
,Glorietta Elementary,Orinda Union Elementary,Contra Costa,969,10,2,1,14,1,5,0,72,0,0,5,0,0,2,8,20,26,N/A,99,0,1,6,57,36,4.28
,Los Perales Elementary,Moraga Elementary,Contra Costa,968,10,2,0,16,0,8,0,59,15,0,0,0,1,8,12,21,29,N/A,99,0,1,2,28,69,4.64
,Del Mar Heights Elementary,Del Mar Union Elementary,San Diego,968,10,2,0,13,1,6,0,73,5,4,0,0,4,3,12,19,24,N/A,100,0,0,5,31,64,4.57
,Mission Valley Elementary,Fremont Unified,Alameda,968,10,2,1,81,1,3,0,9,3,9,17,0,13,26,9,27,28,N/A,98,1,4,6,24,66,4.5
,Bel Aire Elementary,Reed Union Elementary,Marin,968,10,1,0,9,0,6,0,83,0,3,0,0,2,2,7,24,23,N/A,100,0,2,4,38,56,4.49
,Golden View Elementary,San Ramon Valley Unified,Contra Costa,968,10,2,0,32,4,8,1,46,7,2,15,0,7,6,6,24,30,N/A,86,0,2,7,43,48,4.38
,Tustin Memorial Elementary,Tustin Unified,Orange,968,10,1,0,29,1,13,0,52,4,7,39,0,4,10,5,27,32,N/A,97,0,2,11,37,49,4.33
,Cold Spring Elementary,Cold Spring Elementary,Santa Barbara,968,10,0,0,10,0,3,0,88,0,0,12,0,1,1,4,15,14,N/A,99,0,0,10,54,36,4.26
,C. B. Eaton Elementary,Cupertino Union,Santa Clara,967,10,0,0,81,1,3,0,13,1,3,0,0,2,29,7,21,29,N/A,95,1,1,3,19,75,4.68
,Happy Valley Elementary,Lafayette Elementary,Contra Costa,967,10,1,0,5,0,8,0,77,8,1,3,0,1,0,8,22,28,N/A,100,0,0,3,38,58,4.54
,Bird Rock Elementary,San Diego Unified,San Diego,967,10,1,1,4,1,9,0,80,4,5,29,0,5,3,6,23,32,N/A,96,1,2,6,28,63,4.51
,Del Mar Middle,Reed Union Elementary,Marin,967,10,2,0,11,0,4,0,81,0,3,0,0,1,1,4,N/A,22,24,100,0,2,5,37,56,4.47
,Coyote Creek Elementary,San Ramon Valley Unified,Contra Costa,967,10,1,0,49,5,5,0,34,7,1,5,0,8,10,4,24,29,N/A,98,0,1,5,44,50,4.43
,Warm Springs Elementary,Fremont Unified,Alameda,967,10,1,0,75,3,4,0,11,3,9,13,0,9,34,5,26,30,N/A,98,1,4,8,28,59,4.4
,,Orinda Union Elementary,Contra Costa,967,B,2,1,15,1,4,0,72,1,0,12,0,1,3,9,19,24,24,99,0,1,5,50,43,4.35
,Wagner Ranch Elementary,Orinda Union Elementary,Contra Costa,967,10,5,0,17,2,2,0,67,2,0,8,0,2,3,8,17,25,N/A,99,0,3,4,46,46,4.35
,Laguna Road Elementary,Fullerton Elementary,Orange,967,10,1,0,62,2,9,0,21,4,8,28,0,15,19,4,29,33,N/A,89,0,3,9,40,47,4.31
,Frank C. Leal Elementary,ABC Unified,Los Angeles,967,10,5,0,53,16,13,1,6,5,18,22,0,13,18,5,25,29,N/A,95,1,4,13,43,38,4.13
,Rancho San Joaquin Middle,Irvine Unified,Orange,967,10,2,0,54,3,7,0,29,5,11,36,0,15,17,4,N/A,N/A,32,0,0,0,0,0,0,
,Blue Hills Elementary,Cupertino Union,Santa Clara,966,10,1,1,79,0,2,0,16,1,3,0,0,4,26,11,19,31,N/A,95,0,1,3,20,76,4.71
,Carver Elementary,San Marino Unified,Los Angeles,966,10,1,0,61,1,8,0,21,7,0,0,0,5,11,11,25,28,N/A,97,0,2,6,31,60,4.5
,Oak Mesa Elementary,Bonita Unified,Los Angeles,966,10,1,0,12,1,28,0,49,8,9,16,0,5,2,7,26,32,N/A,99,2,10,38,36,14,3.51
D,Celerity Troika Charter,Los Angeles Unified,Los Angeles,966,10,5,1,3,16,70,1,4,0,75,0,0,11,22,5,21,28,25,93,9,18,42,25,6,3
,,Santa Clara Elementary,Ventura,966,B,0,0,0,0,32,0,5,0,11,0,0,0,0,0,15,25,N/A,0,0,0,0,0,0,
,Santa Clara Elementary,Santa Clara Elementary,Ventura,966,10,0,0,0,0,32,0,5,0,11,0,0,0,0,0,15,25,N/A,0,0,0,0,0,0,
,Loyola Elementary,Los Altos Elementary,Santa Clara,965,10,1,0,26,0,3,0,59,10,1,13,0,4,6,13,22,25,N/A,100,0,1,2,28,70,4.67
,Pacific Elementary,Manhattan Beach Unified,Los Angeles,965,10,1,0,8,1,9,0,68,13,2,4,0,2,0,16,22,28,N/A,99,0,1,3,35,61,4.56
,Del Rey Elementary,Orinda Union Elementary,Contra Costa,965,10,2,1,18,1,5,0,68,1,1,3,0,3,5,9,19,25,N/A,98,0,1,7,45,47,4.39
,,Las Lomitas Elementary,San Mateo,965,B,2,0,13,0,10,1,70,4,2,12,0,4,1,12,2,1,2,99,2,3,5,35,55,4.38
,,Lakeside Joint,Santa Clara,965,B,0,0,2,0,2,0,96,0,7,9,0,2,4,11,15,10,N/A,89,0,4,12,28,56,4.36
,Lakeside Elementary,Lakeside Joint,Santa Clara,965,10,0,0,2,0,2,0,96,0,7,9,0,2,4,9,15,10,N/A,91,0,4,12,28,56,4.36
,Carmel River Elementary,Carmel Unified,Monterey,965,10,2,0,5,0,12,0,68,9,6,20,0,2,2,5,21,23,N/A,98,1,3,11,34,50,4.28
,Hillcrest Elementary,Oakland Unified,Alameda,964,10,5,0,7,0,5,0,67,15,2,49,0,1,0,7,22,24,21,92,0,0,2,15,83,4.79
,Wildwood Elementary,Piedmont City Unified,Alameda,964,10,0,1,16,1,4,0,73,4,0,4,0,4,3,11,20,23,N/A,99,0,0,2,27,71,4.69
,,Moraga Elementary,Contra Costa,964,B,1,0,16,1,8,0,61,11,2,0,0,1,4,10,22,28,25,97,0,1,4,34,60,4.54
,Franklin Elementary,Santa Monica-Malibu Unified,Los Angeles,964,10,3,0,10,0,6,0,77,4,5,8,0,6,5,12,23,31,N/A,93,0,1,10,29,60,4.48
,Henry P. Mohr Elementary,Pleasanton Unified,Alameda,964,10,2,0,61,2,5,0,29,0,3,15,0,5,23,9,24,33,N/A,98,0,3,6,34,56,4.44
,Cerritos Elementary,ABC Unified,Los Angeles,964,10,8,0,60,10,12,0,6,3,20,39,0,15,13,3,26,32,N/A,95,0,3,14,49,33,4.13
,Miller's Hill,Latrobe,El Dorado,964,10,0,0,1,0,7,0,82,10,5,41,0,0,0,11,N/A,19,N/A,100,0,1,24,50,24,3.98
Y,Welby Way Elementary and Gifted High Abi,Los Angeles Unified,Los Angeles,964,10,5,0,31,4,15,0,45,0,17,43,0,1,5,5,14,11,N/A,95,2,7,18,40,34,3.97
,Sierra Vista Middle,Irvine Unified,Orange,964,10,2,0,49,3,8,0,34,2,10,28,0,8,13,6,N/A,N/A,32,0,0,0,0,0,0,
,,Reed Union Elementary,Marin,963,B,2,0,10,0,5,0,82,0,3,0,0,2,2,6,22,22,24,100,0,1,5,36,57,4.49
,Scripps Elementary,San Diego Unified,San Diego,963,10,2,0,24,5,9,0,50,9,5,46,0,12,4,6,23,30,N/A,98,0,1,6,35,57,4.47
,Sycamore Ridge,Del Mar Union Elementary,San Diego,963,10,1,1,33,3,10,0,50,3,12,0,0,8,14,6,19,24,N/A,100,1,3,7,29,61,4.46
,R. Roger Rowe Elementary,Rancho Santa Fe Elementary,San Diego,963,10,1,1,5,0,9,0,82,0,0,0,0,4,2,11,17,19,N/A,97,1,2,6,34,57,4.42
,Lanai Road Elementary,Los Angeles Unified,Los Angeles,963,10,3,1,7,1,5,1,84,0,5,23,0,5,7,10,15,12,N/A,96,0,2,10,30,57,4.42
,Roscomare Road Elementary,Los Angeles Unified,Los Angeles,963,10,3,0,5,1,3,0,88,0,4,29,0,2,1,9,16,9,N/A,100,0,1,10,51,37,4.24
,Academy for Enriched Sciences,Los Angeles Unified,Los Angeles,963,10,6,0,22,6,25,0,42,0,28,33,0,6,12,9,19,26,N/A,94,2,11,18,45,25,3.8
,Canyon View Elementary,Irvine Unified,Orange,963,10,1,1,59,1,4,0,31,3,4,16,0,15,8,9,25,29,N/A,0,0,0,0,0,0,
,Montclaire Elementary,Cupertino Union,Santa Clara,962,10,1,1,37,1,5,0,54,2,1,0,0,1,10,11,20,33,N/A,97,0,1,1,24,74,4.72
,,Cupertino Union,Santa Clara,962,B,1,0,72,1,5,0,20,1,6,4,0,6,24,7,22,29,29,94,1,2,6,23,67,4.53
,Roy O. Andersen Elementary,Newport-Mesa Unified,Orange,962,10,1,0,2,0,4,0,92,0,1,5,0,1,0,9,25,33,N/A,99,1,1,4,35,60,4.51
,Orinda Intermediate,Orinda Union Elementary,Contra Costa,962,10,2,1,14,1,5,1,74,0,0,19,0,1,2,9,N/A,24,24,99,0,2,5,49,44,4.36
,Beechwood Elementary,Fullerton Elementary,Orange,962,10,1,0,24,2,21,0,41,6,7,6,0,5,8,5,27,33,33,97,0,3,16,43,38,4.14
,Aviara Oaks Elementary,Carlsbad Unified,San Diego,962,10,2,1,12,2,14,0,67,1,10,34,0,8,2,9,31,30,N/A,96,2,4,15,37,41,4.11
,Joe A. Gonsalves Elementary,ABC Unified,Los Angeles,962,10,6,0,62,9,13,1,7,1,16,27,1,20,17,8,25,30,N/A,94,0,4,17,43,36,4.1
Y,Community Magnet Charter Elementary,Los Angeles Unified,Los Angeles,962,10,19,1,31,0,11,0,37,0,31,27,0,5,13,7,14,14,N/A,92,2,5,14,41,38,4.08
,,Del Mar Union Elementary,San Diego,961,B,1,0,28,1,7,0,60,3,4,0,0,6,9,12,20,25,N/A,100,0,1,5,30,64,4.55
,Huntington Seacliff Elementary,Huntington Beach City Elementa,Orange,961,10,0,0,21,1,11,0,59,7,2,28,0,3,7,12,30,33,N/A,94,0,2,8,40,49,4.37
,Hermosa View Elementary,Hermosa Beach City Elementary,Los Angeles,961,10,1,0,2,0,6,0,82,4,2,0,0,1,0,10,25,N/A,N/A,98,0,1,8,45,46,4.36
,John Green Elementary,Dublin Unified,Alameda,961,10,3,0,53,9,6,0,26,1,2,11,0,8,10,4,25,28,N/A,94,1,2,7,43,47,4.34
,Ardenwood Elementary,Fremont Unified,Alameda,961,10,4,0,72,6,3,0,10,5,14,12,0,14,20,4,28,29,N/A,100,1,3,9,38,49,4.3
,James Franklin Smith Elementary,Evergreen Elementary,Santa Clara,961,10,2,0,73,5,7,1,10,1,6,10,0,11,17,8,24,29,N/A,99,1,5,14,37,43,4.17
,Bay Farm Elementary,Alameda City Unified,Alameda,961,10,6,0,46,2,8,1,25,11,10,13,0,16,6,12,21,27,N/A,93,1,5,14,38,42,4.14
,Palomares Elementary,Castro Valley Unified,Alameda,961,10,5,1,9,3,24,0,43,13,14,4,0,12,6,3,23,27,N/A,97,2,12,15,42,29,3.83
D,KIPP Raices Academy,Los Angeles Unified,Los Angeles,961,10,2,0,0,0,98,0,0,0,92,0,0,62,0,7,,,,93,14,36,35,8,7,2.59
,Vista Verde,Irvine Unified,Orange,961,10,1,0,25,3,6,0,59,5,3,16,0,8,4,6,30,33,26,0,0,0,0,0,0,
