Bookkeeper,Hands Across The Water Inc.,Y4000
BROKER,"GOGGANS, INC.",K2000
SWIDLER & BERLIA,,K1000
Physician,Illinois Masonic Medical,Y4000
PRESBYTERIAN PASTOR,TRADITIONAL VALUES,Y4000
BOOK STORE OWNER,SELF EMPLOYED,J7400
SOLUTIONS FIBERS INC,,Y4000
EXECUTIVE,FIRST PRIVATE TRUST,Y4000
PUBLIC AFFAIRS MANAGER,STATE FARM,F3400
Attorney,Brown Chiari,K1000
CONSULTANT/CHEM ENG.,SELF-EMPLOYED,Y4000
ENGINEER,REDDING LINDEN BURR,B4400
Consultant,"Figueroa's Community Consulting",Y4000
PHYSICIAN,CHATTANOOGA ORTHEPEDIC GROUP,H1130
Oil and Gas,"Sid Bass, Inc.",E1150
Events Manager,Newschools Venture Fund,Y4000
Civil Engineer,"Kor-Ko, Ltd",Y4000
Owner,"Apple's Northside Market",Y4000
LOBBYIST,MESSERLI & KRAMER,K1000
AUTO AUCTION,SPARKLING CITY A.A. OF SAN ANTONIO,Y4000
WESTERN WI TECH COLLEGE,,H5200
AUTOMOBILE MECHANIC,SELF EMPLOYED,T2400
Attorney,Lehman Brothers,F2100
Director,Anbp,Y4000
Management,"MAGUIRE IRON, INC.",M5000
CPC,,T2100
INTERMOUNTAIN GAS CO,,E1140
Homemaker/Philanthro,N/A,H4100
WAYTECH CORPORATION,,Y4000
Attorney,Self,E1110
WAYNE BANK & TRUST,,F1000
Vice President,Colorado Trophies,Y4000
SENIOR VP GLOBAL,BOSTON SCIENTIFIC,H4100
PRESIDENT & CEO,"COEUR MINING, INC.",E1220
VICE PRESIDENT,GLENMEDE TRUST COMPANY,F5000
OSU DEPARTMENT OF OBSTETRICS & GYNE,,H5150
Owner,Univ. Appraisal Network,F4700
E.V.P.-OPERA,CASTLE ROCK INDUSTRIES,Y4000
PHYSICIAN,METRO INFECTIOUS DISEASE CONSULTANTS,Y4000
Physician,St. Mary Medical Center,J1200
MARY KAY COSMETICS SALES,,M3300
STANLEY BRUCE POWELL PA,,K1000
Executive,Roto Rooter Inc,Y4000
GETHSEMANE BAPTIST,,X0000
Sales,Vacation.Com,C5140
AMBASSADOR,DEPARTMENT OF STATE,X3000
PRESIDENT,COM-PAIR SERVICES,G1200
CHIEF POLICY OFFICER,WESTED,Y4000
BUTLER,CATERPILLAR,X1200
INDEPENDENT FILM PRODUCER,SELF/INDEPENDENT FILM PRODUCER,J7400
Analyst,Osterweis Capital Management,F2100
DUPUIS OIL COMPANY,,E1100
professor/writer,Smith College/self,Z9500
IT/BI CONSULTANT,INDEPENDENT-SELF EMPLOYEED,Y4000
STAAB FUNERAL HOME,,G5400
Coton Producer,Self-employed,A1100
Lawyer,Speranza & Bates,Y4000
Physician,UTMB,H5150
Physician,"Rocky Mountain Radio, P.C.",C2100
INVESTOR,VANETIK INTERNATIONAL/INVESTOR,G5200
PRES,INTERNATIONAL BANK OF COMMERCE,F1100
Client Executive,Unisys Corporation,C5130
REAL ESTATE,DMB PACIFIC VENTURES LLC/REAL ESTAT,Y4000
volunteer,The Jason Foundation,Y4000
President,Downey Publishing,C1100
HELENA RUBINSTINE,,M3300
Building Manager,The Equity Manor Group,Y4000
PRESIDENT A,"SEVEN OAKS COMPANY, LLC",Y4000
Human Resources,"Pepsico, Inc",G2600
INSURANCE,RUBIN GOLDMAN AND ASSOC.,F3100
ASS,AMERICAN CIVIL RIGHTS INSTITUTE,Y4000
ROMET MCGUIGHAN SABONOSH,,Y4000
EXECU,JUKI AUTOMATION SYST. HOLDING,M2300
President,Westcoast Precision,Y4000
PRINCIPAL - CREATIVE,FENTONWORKS,Y4000
Executive Vice Presi,Medical Properties Trust Inc.,F4100
Doctor,Self Employed,H5100
Insurance Consultant,Retired,X1200
PIPER JAFFRAY COMPANIES INC,,F2100
SCOTT FOODSTORES INC,,Y4000
OWNER,LEN LIBBY CANDIES,J1100
Energy Management,Consumer Powedine,Y4000
OWNER,FABRIC RETAIL STORE,M8000
College vp,Sarah lawrence college,H5100
SCHLESSER INC,,A5000
HOUSE-SITTER,SELF-EMPLOYED,Y4000
ASST DIR OF RESOURCE DEV,PELL STATE,Y4000
Consultant,Curbs Etc Corporation,Y4000
GOVERNOR,STATE OF VIRGINIA,X3000
Investor,John Houston,J1200
CEO,LIBERTY MUTUAL GROUP,F3400
CPA,Doherty & Stuart Pc,F5100
SAILBOAT CENTRE,,Y4000
Sales,Southwest Dealer Ser,Y4000
Attorney,"Pelletheri, Rabstein & Altman",K1000
CANADA DRY DIST,,Y4000
CEMENT DISTRIBUTORS INC,,B5100
MANAGING PARTNER,BRE DEVELOPMENT LLC,Y4000
ENGINEER,DAVIDSON ENTERPRISES INC.,T3100
PRIVATE INVESTOR,SELF-EMPLOYED,F5100
PRODUCER,CASEY-WERNER PRODUCTIONS,C2300
President,Giusti Farms Llc,A1000
LAWYER,SLAWSON COMPANIES INC.,Y4000
AT,CASTLE MEINHOLD & STAWIARSKI LLC,Y4000
FINANCIAL ADVISOR,AMERICAN EXPRESS,F2000
WEST VALLEY PHYSICA,,H0000
GOVT. RE,"TIDEWATER CONSULTING, INC.",K1000
OWNER,KIRK & COMPANY LLP,F5100
Anesthesiolocist,"Children's Hospital",H2100
HUBINGER CO,,J6200
GOVERNMENT AFFAIRS,AMERICAN DEFENSE INTERNATIONAL,K2000
FINELY ASSOCIATES,,Y4000
HUNT PLYWOOD CO,,A5000
Dealer,Ritchey Cadillac,T2300
Health care analyst/,Calif Assn of Rehab Facilities,J7400
RADIO,ATLANTA RADIOLOGY CONSULTANTS,J1200
Attorney,"Sugarman & Susskind, PA",K1000
HYATT DEVELOPMENT CORPORATION,,J7150
KENNY CONSTRUCTION,,B3600
GOVERNMENT AFFAIRS,WESTINGHOUSE ELECTRIC COMPANY,E1320
CHRISTIAN MUSIC,LEGARY FIVE,Y4000
AVP DSGN/CNSTRCTN,UNITED SERVICES AUTOMOBILE ASN,F3100
Manager,"Pushwa International, Inc",Y4000
Fire Fighter/EMS,CUYAHOGA FALLS FIRE DEPARTMENT,L1400
MOTION PICTURE ASSOCIATION,,K1000
EDUCATOR,NYC BOE,X3500
CEO,Southwood Partners,Y4000
DIRECTOR OF MARKETING,REZMAR INC.,Y4000
Privacy Requested,Private,H2100
INVESTMENTS,HILAN CAPITAL,X4110
ATTORNEY,"BROWNSTEIN, HYATT & FARBER, PC",K1000
Owner,"Absolute Style, LLC",Y4000
PHYSICIAN,"ROME RADIOLOGY GROUP, PA",H1130
NEUROSURGEON,BAYSTATE MEDICAL CENTER,H2100
Engineer,Saturn Electronics Engineers,B4400
Professor,Georgia Institute of Technolog,H5100
Lawyer,Holland & Knight,K2000
Chief Staff Officer,Tedeschi Food Shops Inc,G4300
FERRONICS INCORPORATED,,Y4000
ATTORNEY,MCHUGH FULLER LAW GROUP,K1000
REAL,COAST AND MOUNTAIN PROPERTIES,F4000
OWNER,"COOK'S GARDEN CENTER",Y4000
PAUL HASTINGS & ASSOC,,K1000
AROINI NEWSPAPER,,C1100
Managing Director,Jenstar Capital,F2600
ENGINEER,GE AIRCRAFT ENGINES,T1300
EXECUTIVE,GRAZIANO CONSTRUCTION,B1500
SOFTWARE & DATABASE DEVELOPER,SELF-EMPLOYED,C5120
LIBRARIAN,THE OAKRIDGE SCHOOL,Y4000
CONSTRUCTION,INTEGRITY CONSTRUCTION,B1500
METRO COLLISION CENTER,,T2400
Teacher,Greenwich Board of Education,X3500
INSURAN,FIA INSURANCE SERVICES INC.,F3100
J MICHAEL JASPER MD,,H1100
LOPATIN MILLER FREEDMAN,,Y4000
PRESIDENT,ARI FLEISCHER SPORTS COMMUNICATIONS,Y4000
CEO,A&E AUTO ELECTRICINC,Y4000
LAWYER,"PASTEMAK & FIDIS, P.C.",Y4000
Co-Founder,Echostar,C2200
Urologist,GWU - MFA,H1100
Attorney,Nichols Wolff Ledbetter & Campbell,K1000
DIRECTOR,DAVID BOHNETT FOUNDATION,J1200
PHOTOGRAMMETRIST,AERO-METRIC,B4300
CEO,"NEW LIFE AGENCY, INC",Y4000
V. P. Nuclear Engineering,FLORIDA POWER & LIGHT,E1600
COMMUNITY VOLUNTEER,SELF,C4000
Sec/Treas,Granite Halmar Construction Co,B1000
Interior Design Consulta,Self employed,Y4000
TRIPLE-S ANNS PLACE RESTAURA,,G2900
WEB DEVELOPER,DUET PRODUCTIONS,Y4000
ATTORNEY,LOCKE LIDDELL AND SAPP L.L.P.,K1000
FAMILY PHYSICIAN/CLINICIAN-TEACHER,UNIVERSITY OF NORTH CAROLINA AT CHAPEL,H5100
MARILYN SORENSEN,NONE,Y4000
SCHUMAN LICHTENSTEIN,,Y4000
SCHOOL PSYCHOLOGIST,BUCKINGHAM BROWNE  AND NICHOLS,Y4000
Industrial Specialty Cont Llc/con,"ISC, LLC",Y4000
CALIFORNIA FASHION INDUSTRIES,,M3100
ATTORNEY,"JONES& ROSTANT, P.C.",Y4000
BUSINESS UNIT LEADER /  MANAGER,CHRYSLER GROUP LLC,T2100
Storycorps,,Y4000
ATTORNEY,THE BOUCHET LAW FIRM,K1000
PRESIDENT,DOSSETT BIG 4 BUICK CADILLAC GMC HONDA,T2300
TRANSTECTOR,,Y4000
Processing Tech,Gwinnett Detention,Y4000
ADMINISTRATOR,ST. JOSEPHS HOSPITAL,H2100
SELF-EMPLOYED,CHERIANS INC.,Y4000
Radiologist,Doshi Diagnostics,Y4000
PARAMONT COMPANIES,SELF EMPLOYED,J6200
OFFICE SERVICES MANA,ITASCA COUNTY,X3000
SENIOR VICE PRESIDENT,ENER BANK USA,Y4000
SOUTHVIEW HEALTH CARE,,H2200
Attorney,The Capitol Company,Y4000
Owner,Victoria Villa Inc.,Y4000
PROP-A-GANDA,,Y4000
EXECUTIVE,WASHINGTON COMPANIES,B1000
Realtor,Quinn Gillespie & Associates,K2000
EVP PUBLIC,"DOM RESOURCES SVCS, INC.",E1620
CEO/President,Grey Eagle Distributors,G2850
GRUB STREET PRODUCTION,,Y4000
President,JWM Investments,E1120
"CONNELLY, SOUTAR",,Y4000
President/Investor,Pattco,F2100
Owner,Midtown Rehabilitation Center,Y4000
DIRECTOR,GUINNESSUDV NORTH AMERICA,G2820
volunteer,n/a,X4110
President,Goldberg Realty Associates,F4500
ENVIRONMENTAL PLANNE,"ADVANCED ENVIRONMENTAL SOLUTIONS, INC",Y4000
PHYSICAL THEROPIST,MERITER HOSPITAL,J7400
Foundation Director,Self,X4100
RANCHER,PHINIZY RANCH,A3000
PALMER AND CAY,,T6100
ASSISTANT,ENDEAVOR,Y4000
President,1st Mariner Bank,F1100
DANA FORBER CANCER INSTITUTE,,H2100
Manager,Thomson-West,C1100
ACCOUNTANT,TEACHER,H5100
EXECUTIVE,BOSMA ENTERPRISES,Y4000
Banking Investment I,The Marbury Corp,Y4000
REALTOR,WINDEMEER,F4000
ASSOCIATED DISTRIBUTIONS,,G2850
"VICE PRESIDENT, G",ESSEX CORPORATION,F2100
Office Manager,Farmers Implement Co,A4200
CEO,KEMPER CPA GROUP,F5100
Corp Executive,Dayton Forging & Heat Tr,Y4000
SECRETARY,C.D.M. CO.,Y4000
President,Loving Lincoln-Mercury,T2300
Entertainment Executive,Crossroads Media,C2000
Owner,KS Printing Co,C1300
ZACHARY SHUSTER LLC,,Y4000
OWNER,RAY SMITH RENTALS & FARM,T2300
Attorney,"Mackall, Crounse & Moore, Plc",K1000
CENTRAL NATIONAL LIFE,,F3300
"AVP, FINANCE",WELLCHOICE INC.,F3200
OWNER,CLOWER INDUSTRIES/OWNER,Y4000
OFFIT HALL CAPITAL MGM,,F0000
ATTORNEY,SMITH PACHTER-MCWHORTER,Y4000
Division Controller,"The Nunes Company, Inc",Y4000
ASSISTAN,FEDERAL RESERVE BANK OF NY,X3000
PIT STOP QUICK OIL,,E1100
PSYC,SELF & MANHATTAN PSYCHIATRY CL,H1110
LENTZ,,Y4000
President,Royal Sausage Company Inc.,G2300
officer,Fitzpatrick & Weller,A5000
Attorney,Jeffrey M Silverstein & Associates,K1000
LAWYER,LINDER AND HOLLOWELL,K1000
Co-Owner,Spur Lake Cattle Company,A3000
Consultant,The Ric Group,Y4000
Auxiliary Professor,Drexel University,H5100
Real Estate Agent,Melvin Plutsky,Y4000
VENTURES ASSOCIATE,BAIN CAPITAL,F2600
PRESIDENT/GENERAL MANAGER,VINOEX ENERGY CORP.,Y4000
REALTOR,REMAX PRESTIGE,F4000
PHARMACEUTICAL RESCH & MFGR OF,,H4300
ALL STATE,,J1200
PROGRAMMER,R/GA,Y4000
EASTERN OIL CO,,E1160
PRESIDENT AND CEO,LOUSIANA BANKERS ASSOCIATION,F1100
ATTORNEY,WASHINGTON STATE BAR,JE300
PRINCIPAL,DELOITTE,F5100
VANDEVEER GARZIA,,Y4000
REGIONAL PRESIDENT,UNION FIRST MARKET BANK,F1100
OWNER,TALISMAN GROUP,Y4000
PRESIDENT & COO,SOJOURN CARE,H2200
TOWING,,T2400
CEO Owner,NGG LTD INC,Y4000
Ledger Investments LLC,Real Estate Manager,F7000
PHYSICIAN,FAMILY HEALTH CENTER LLP,H1100
Attorney,Myers Brier & Kelly LLP,K1000
DUTKO,,Y4000
CONSULTANT,NRB STRATEGIES,J5100
TULSA ADJUSTMENT BUREAU INC,,F5200
WAUSAU HOSPITAL,,H1100
CEO,ASPEN MARKETING SERVICES,G5280
INSU,CAL-SURANCE BENEFIT PLANS INC.,F3100
marine engineer,Horizon Lines,J1100
"WAITE, SCHNEIDER, BAYLESS, CHESLEY,",,K1000
BUSINESS OWNER,KTL ASSOCIATES INC.,Y4000
OTIS COLLEGE OF ART AND DESIGN,"ARTIST, EDUCATOR",J7400
SOFTWARE SUPPORT,INTERSYSTEMS,C5120
ENGINEER,QUALI-TECH INC,Y4000
INFO REQUESTED,P and G. Consulting Ltd. Liability,Y4000
PARTNER,STEWART INVESTMENTS LLC,F7000
Management Consulting,The Levers Group (Self),Y4000
OWNER,GUN GEARS AND GADGET,Y4000
REAL ESTATE BROKER,LYON REAL ESTATE-W. ROSEVILLE,F4200
SPECIAL EDUCATION TEACHER ASSISTANT,ANCHORAGE SCHOOL DISTRICT,X3500
SAUSAGE MANUFACTURING,CON AGRA,G2100
SR. VP & GENERAL COUNSEL,"MC WANE, INC.",B5300
Vice Chairman,"Observatory Group, LLC",G5210
OIL & GAS EXPLORATION,WSHLAND INC.,Y4000
PRES,CITIZENS UNION BANK OF SHELBYV,F1100
Non-Exec Chairman of,Verizon Communications Inc.,C4100
Info Requested,Anu R. Pathak M.d.,H1100
DIRECTOR OF MARKETIN,MINERVA HEALTH,Y4000
INVESTMEN,RETIREMENT PLAN SOLUTIONS,Y4000
Owner,NeSmith Chevrolet,T2300
SALES MGR.,DOW AGROSCIENCES,A1100
ATTORNEY,"GRANT, KONVAUNKA, & HARRISON,",Y4000
MGR RLG,BEHTLEHEM STEEL CORPORATION,M2100
WRITER AND EDITOR,SELF,G0000
OPERATIONS ENGINEER,XTO ENERGY,E1120
EXECUTIVE,LOGICALIMAGES,Y4000
MD,Atlanta Resurgens,H3000
PRESIDENT,"KILRUSH PETROLEUM, INC.",J1100
ALBRIGHT ABSTRACT & GUARETY,,F4300
N Y STATE GOER,,X3000
PHYSICIAN,THE WOMENS PAVILION,Y4000
Manager,402Eight Ave Corp,Y4000
Projects Coorindator,Waterbury Public Schools,X3500
PRESIDENT,BEAVERTOWN BLOCK CO./PRESIDENT,Y4000
Special Representati,International Assoc of Machinists,LM100
SENIOR VICE PRESIDENT AND GENERAL COUN,THE ELECTRIC COOPERATIVES OF SOUTH CAR,Y4000
DIRECTOR,STAMFORD CONSULTING,Y4000
WENVENTURE INC./PRESIDENT/CEO,,G2900
SECRET,JACK DONNELLY AND ASSOCIATES,K1000
COO,Information Manufacturing Corp.,C5130
Business Owner,Westan Home Services Inc,Y4000
Oil & Gas/Rancher,Self,G0000
ENGINEER,JMIFT,Y4000
GREENHILL AND COMPANY,,F2000
BRAND GROUP DIRECTOR,UNITED PARCEL SERVICE INC,T7100
"DEBLASIO, FIGMAN &",,Y4000
Owner,Chas S Middleton And Sons,Y4000
REALITY RESEARCH,,Y4000
Manager,Warner Chilcott,Y4000
OWNER,TARPON WOODS DEVELOPMENT,Y4000
STEPHENS ENGINEERING C,,C5130
INFO REQUESTED,Vinyltechnology,Y4000
SALES,TRI STATE TRUCK & EP INC.,Y4000
EXECUTIVE,RMD INC.,Y4000
INV,J. F. B. PLANNING SERVICES INC.,Y4000
EXCEL MINING SYSTEMS,,E1200
BUSINESSMAN/PRESIDEN,UNITED TECHNOLOGIES,D2000
Physician,"Robert K. Wenger M.D.,P.A.",Y4000
Attorney,Madison Law and Strategy Group,K1000
MORSE & MOWBRAY,,Y4000
Info Requested,Clemedtson Properties,F4000
OFFICE WORKER,DTE ENERGY,E1620
Writer,"Bell-Phillip Television,",C2100
Assistant,NMSU,H5100
CEO,SAFEGUARD SCIENTIFIC,C5100
SOFTWARE DEVELOPER,,J9000
President & CEO,EDCO,E3000
VICE,BANK OF AMERICA SECURITIES LLC,F2100
ENTREPRENEURIAL CORPORATE GROUP,,F7000
VICE CHAIRMAN,ARIEL CAPITAL MANAGEMENT,F2100
BERLAND FLYING EAGLE INC,,G5270
KIMBALL HILL HOMES,,F5100
Operator,Blue Spruce,J1200
ICI MUTUAL INSURANCE COMPANY,,F3100
FOOD STORE,,G2400
CONSULTA,"CALIFORNIA STRATEGIES, LLC",K2000
"VP INT'L BUSINESS DEVELOPMENT",SCIENTIFIC GAMES CORPORATION,G6500
President,Market Basket,G2400
BUSINESSMAN,,G1200
LAWYER,"COLE, SCOTT & KISSANE, P.A.",K1000
PRESIDENT & CEO,"DST SYSTEMS, INC.",C5130
owner,Rainbow Carpet,Y4000
Attorney,Berowitz & Schagrin & Cooper,K1000
LAWYER,STANDARD PACIFIC CAPITAL,Z9500
ATTORNEY,CHESAPEAKE ENERGY,E1120
ON-SITE ADMINIS,ST. JOSEPH HOSPITAL,H2100
OWNER,"STREAMLINE PRECISION, LLC",Y4000
ATTORNEY,STATE OF TEXAS,X3000
FAMILY SERVICE AGE,,Y4000
EXECUTIVE,GOVERNMENT EMPLOYEE,X3000
SALES,DAPHNE WARNER & ASSOCIATES,Y4000
DIR-SALES PLANNING_PERFORMANCE,UNITED PARCEL SERVICE INC.,T7100
FLAPDOODLES INC,,Y4000
ATTORNEY,CREWFORD LAW FIRM,K1000
Director,D & S Investments,Y4000
BUSINESS,GE TRANSPORTATION SYSTEMS,M2300
CEO,City Liquidators,Y4000
President,"Jemm International, LLC",Y4000
Physicist,"Brookhaven Nat'l Lab",Y4000
Credit Manager,Woodard,Y4000
NORTHEAST VENTURES,,Y4000
CIVIL ENGI,BAYSIDE ENGINEERING INC.,B4400
President,International Matex Tank,T7200
Home Maker,Na,Y2000
VIETNAME EDUCATION FOUNDATION,,Y4000
PRESIDENT,"H&N FOODS INTERNATIONAL, INC",G2000
K & G MANAGEMENT BURGER KIN,PARTNER,G2900
NORTHROP GRUMAN CORP,,D2000
REAL ESTATE BROKER,"LEPIC-KROEGER CORRIDOR, REALTO",F4200
SENIOR DIRECTOR,GENENTECH,H4500
LA PLATA FAMILY MEDICINE,,Y4000
Diagnostic Radiologist,Windsong Radiology Group,H1130
VICE PR,UNITED HERITAGE MUTUAL LIFE,Y4000
ELECTRAMOTIVE INC,,Y4000
Self-Employed,Self,E1100
General Manager,Monarch Casino Reno,G6500
Mortgage Lending,Hinton Mortgage,F4600
DEALER,MCKAY MOTORS INC,T2300
REAL ESTATE,RALSTON MANAGEMENT INC.,F4000
OWNER,SANTA MARIA VINEYARD & WINERY,G2820
REED SMITH LLP,,K2000
TED GLASRUD & ASSOCIATES,,Y4000
Investment Banking,Atlantic-Pacific Capital,F2100
BERENS CAPITAL MANAGEMENT,,F0000
ATTORNE,"SANCHEZ, MOWRER & DESIDERIO",K1000
HARRY OUTDOOR ADV,,G5230
CONSU,STATE DEPARTMENT OF EDUCATION,Y4000
SIGNATURE FINANCIAL,,Y4000
ATTORNEY,NTE LAW,Y4000
UNIVERSITY MEDICAL CENTER,,H5150
COUNSEL,SENATOR JOHN KERRY,X3000
ICE CREAM CHURN INC,,Y4000
ATTORNEY,SCHRIFFIN & BARROWAY LLP,K1000
SALES,DIGNITY FUNERAL HOMES,G5400
Vice President,St Paul Area Association of Realtors,F4200
PRESIDENT,VEIT COMPANIES,Y4000
CFO/OWNER,SCOPE IMPORTS,M3100
PARSONS BRINCKERHOFF QUADE & DOUGLS,,B4000
President,"CORUM'S FLOWERS",G1200
SALESM,INDUSTRIAL FITTINGS & VALVEZ,Y4000
Hospital Administration,Boston Medical Center,H2100
EXECUTIVE VICE PRESIDENT AND GENERAL M,MEREDITH CORPORATION,C1100
PRODUCER,GRANADA AMERICA,J1200
SR CATEGORY DIRECTOR,G-P CONSUMER PRODUCTS LP,E1160
SELF-EMPLOYED,KINGSBURY ELEVATOR INC.,A4300
NEW ENGLAND INST OF TECHNOLOGY,,H5200
LUCERO & WRIGHT,,Y4000
lobbyist,Kline Associates LTD,Y4000
National Historic Landmark Director,Historic Hudson Valley,X4200
ATTORNEY,C.I.R. LAW OFFICES,K1000
REAL ESTATE,JAMSHID GOLTCHE,Y4000
Investor,Wells Fargo,F1100
Housewife,None,J2200
ALLIED CONST SERVICE INC,,B1500
President,Harmon and Company,F2600
LAWYER TEACHER PUBLISHER,,J7700
President of Chief S,Exsentoch Solutions,Y4000
PHYSICIAN,PHYSICIAN,J1200
"NATIONS' EDUCATIONAL DEVEL CORP",,Y4000
HEALTH CARE,CHROME HEART,Y4000
EXECUTIVE,NEC HEALTH LLC,Y4000
Physician,M. D. Visk M.D. PA,H1100
President,Staab Agency,G1200
AGRI-BUSINESS,BERRIEN PEANUT CO.,A1600
EVP/CFO,Physical Therapy associates of Queens,J7500
ATTORNEY,JONES WALKER ET AL,K1000
Director,Hewlett-Packard Company,C5100
VICE PRESIDENT-PUBLIC,"EHEALTH, INC.",F3100
DAVID EFRON LAW OFFICES,,K1000
PRES,FLORIDA CONSULTANT INCORPORATE,Y4000
PRESIDENT,FORT LEE HOTEL MANAGEMENT,T9100
RN Admin,Community Care,Y4000
Veterinarian,United States Dept. Of A,X3000
LIFE INSURANCE,NORTHWESTERN MUTUAL,F3300
Manager,Daedalus Books,Y4000
EXECUTIVE VP,U. S. SUGAR CORPORATION,A1200
PRESIDENT,"LODGE LUMBER CO., INC.",B5200
Teacher,North Syracuse School District,X3500
Operations Manager,Tahirih Justice Center,J9000
CHAIRMAN & CEO,WOLFENSOHN AND COMPANY LLC,F2600
SHAREHOLDER,"LEONARD, STREET & DEINARD",K1000
GOVERNMENTAL AFFAIRS,USA FUNDS,F1400
STANDARD COMMERCIAL CORPORATION,,A1300
"Vice President, Radi",NAB,C2100
ZUCCARO & SONS INC,,B3600
DOCTOR,HARVEY GLASSER MD,H1100
Broadcaster,Northern Broadcasting,C2000
PHYSICIAN,"CHILDREN'S HOSPITAL OF PHILADELPHIA",Z9500
Executive,ADC Telecommunications,C4600
Owner,AAA Rent to Own,G5300
