Gss year for this respondent                       ,Welfare,Highways and bridges,Social security,Mass transportation,Parks and recreation,Assistance for childcare,Supporting scientific research        ,Developing alternative energy sources,Foreign aid,"Military, armaments, and defense",Improving the conditions of blacks,Respondent id number,Space exploration program,Improving & protecting environment,Improving & protecting nations health,Solving problems of big cities,Halting rising crime rate,Dealing with drug addiction,Improving nations education system,Ballot used for interview
2016,Not applicable,Too little,Too little,Too much,Too little,About right,About right,Too much,Not applicable,Not applicable,Not applicable,11,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,About right,About right,About right,About right,Too little,About right,About right,About right,About right,About right,12,Too little,Too little,About right,Too little,Too much,Too much,About right,Ballot a
2016,Too little,Too much,Too little,Too little,Too little,Too little,Too much,Too little,Too much,Too much,Too little,13,Don't know,Too little,Too little,Too little,Too little,Too little,Too little,Ballot b
2016,About right,About right,Don't know,About right,About right,About right,Don't know,Don't know,Too much,About right,Too little,14,Don't know,Don't know,Too little,Too much,About right,Too little,About right,Ballot c
2016,Too little,Too little,About right,Too much,About right,Too little,Too little,Too little,Too much,About right,Too little,15,Too much,Too little,Too little,Too little,Too little,Too much,Too little,Ballot b
2016,Too much,Too little,Too little,Too little,Too little,Too little,About right,About right,Too much,About right,Too little,16,About right,About right,Too little,About right,Too little,About right,Too little,Ballot c
2016,Not applicable,About right,Too much,About right,About right,Too little,About right,About right,Not applicable,Not applicable,Not applicable,17,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,Too much,Too little,Too little,Too little,About right,About right,About right,Too much,About right,Too little,18,Too much,About right,Too little,Too little,Too little,Too little,About right,Ballot b
2016,Not applicable,Too little,About right,Too little,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,19,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,About right,Too little,About right,Too little,Too little,About right,About right,About right,About right,Too little,20,About right,Too little,Too little,Too little,Too little,About right,Too little,Ballot a
2016,Too little,Too little,Too little,Too little,Too little,About right,About right,Too little,Too much,Too little,Too little,21,About right,Too little,Too little,Too little,Too little,About right,Too little,Ballot b
2016,Too little,About right,Don't know,About right,Too little,Too little,Don't know,Don't know,Don't know,Don't know,Too little,22,Don't know,Too little,Too little,Too little,Too little,About right,Too little,Ballot c
2016,Not applicable,About right,About right,About right,About right,About right,Too little,About right,Not applicable,Not applicable,Not applicable,23,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,Too much,About right,Too little,About right,About right,Not applicable,Not applicable,Not applicable,24,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too little,About right,Too little,About right,About right,Too little,Too much,Too little,About right,Too much,Too little,25,About right,Too little,Too little,About right,Too little,About right,About right,Ballot c
2016,Not applicable,About right,Too little,Too much,About right,Too little,Too little,About right,Not applicable,Not applicable,Not applicable,26,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,No answer,Too little,Too little,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,27,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,About right,Don't know,About right,Too little,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,28,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,Too little,About right,About right,About right,About right,Too little,Too little,Too much,About right,Too little,29,Too much,Too little,Too little,Too little,Too little,About right,Too little,Ballot b
2016,Not applicable,About right,Too little,Too little,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,30,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too little,Too little,Too little,About right,About right,Too little,Too little,Too little,About right,Too much,Too little,31,Too little,Too little,Too little,About right,About right,Too little,Too little,Ballot b
2016,Too much,About right,Too little,About right,Too little,Too little,Too little,About right,About right,Too little,Too little,32,Too little,About right,Too little,About right,Too little,Too little,Too little,Ballot c
2016,About right,About right,Too little,About right,About right,About right,About right,About right,Too much,Too little,About right,33,About right,About right,Too much,About right,About right,About right,About right,Ballot a
2016,Not applicable,About right,Too much,About right,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,34,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,Too little,About right,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,35,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,Too little,About right,About right,Too little,About right,Too little,About right,About right,Too little,Too little,36,Too little,About right,Too much,About right,Too little,About right,Too much,Ballot b
2016,Not applicable,About right,Too little,About right,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,37,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too much,About right,Don't know,Too little,About right,Don't know,Too little,Not applicable,Not applicable,Not applicable,38,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,Too little,About right,About right,About right,Too little,About right,Too little,Too much,Too little,About right,39,Too much,About right,Too much,About right,Too little,Too little,Too little,Ballot c
2016,Too little,Too little,Too little,About right,About right,Too little,About right,Too little,About right,Too little,Too little,40,About right,About right,Too little,Too little,Too little,Too little,About right,Ballot b
2016,Too much,Too much,About right,Too much,About right,Too much,About right,About right,Too much,About right,Too much,41,Don't know,Too little,Too little,Too much,Too little,Too little,Too little,Ballot c
2016,About right,Too much,Too little,About right,About right,Too little,About right,Too much,About right,Too much,About right,42,Too much,Don't know,About right,About right,About right,About right,Too little,Ballot a
2016,About right,About right,Don't know,Too little,Too little,Too little,Too little,Don't know,Don't know,Too little,About right,43,About right,About right,Don't know,Don't know,About right,About right,About right,Ballot b
2016,Too little,About right,Too little,Too little,About right,Too little,About right,Too little,Don't know,Too much,Too little,44,About right,Too little,Too little,About right,Too much,Too little,Too little,Ballot c
2016,Not applicable,About right,Too little,About right,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,45,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,About right,About right,About right,About right,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,46,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,Too little,About right,About right,About right,About right,Too little,Too little,About right,About right,Too little,47,Too little,Too little,Too little,About right,About right,Too little,Too little,Ballot b
2016,Not applicable,Too little,Too little,Too little,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,48,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,Too little,Too much,Too little,About right,Don't know,Too little,Too little,Too much,About right,About right,49,Too little,Too little,Too little,About right,About right,About right,About right,Ballot c
2016,Not applicable,Too little,About right,Too little,About right,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,50,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,About right,Too much,Too little,About right,Too little,About right,About right,Don't know,Too little,Too little,51,About right,Too little,Too little,Too little,Too little,Too little,Too little,Ballot b
2016,Too little,Too little,About right,Too much,About right,Too little,Too little,Too little,About right,Too much,Too little,52,About right,Too little,Too little,About right,Too little,Too little,About right,Ballot a
2016,Not applicable,About right,Too little,About right,Too much,About right,Too much,Too little,Not applicable,Not applicable,Not applicable,53,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too much,Too much,About right,Too little,Too much,Too much,Not applicable,Not applicable,Not applicable,54,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,About right,Too little,About right,Too much,About right,About right,Too little,About right,Too little,About right,55,Too much,Too little,Too little,Too little,Too little,About right,About right,Ballot a
2016,About right,About right,Too little,About right,About right,About right,Too little,About right,Too much,About right,Too much,56,Too much,About right,Too little,About right,About right,Too little,About right,Ballot b
2016,Not applicable,About right,Too little,About right,About right,Too little,Too little,About right,Not applicable,Not applicable,Not applicable,57,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,58,Too much,About right,Too little,Too little,Too little,Too little,Too little,Ballot b
2016,Don't know,Too little,Don't know,About right,About right,Too little,About right,About right,Don't know,Too much,Too little,59,Too little,Too little,Too much,No answer,No answer,Too little,Don't know,Ballot c
2016,Not applicable,Too little,About right,Too little,About right,About right,Too little,About right,Not applicable,Not applicable,Not applicable,60,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too little,About right,About right,About right,Too little,Too little,About right,Too little,About right,About right,Too little,61,About right,About right,About right,About right,About right,About right,About right,Ballot c
2016,About right,About right,About right,About right,About right,About right,Too little,About right,Too much,Too much,About right,62,About right,About right,About right,About right,About right,Too little,About right,Ballot b
2016,About right,Too little,Too little,Too much,Too little,Too little,Too much,Too much,Too much,About right,Too little,63,Too little,About right,About right,About right,Too little,About right,Too little,Ballot c
2016,Not applicable,Too much,Too little,Too little,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,64,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,About right,About right,Too much,About right,Too little,About right,Too much,Too little,About right,About right,65,Too much,About right,About right,About right,About right,Too little,About right,Ballot a
2016,Not applicable,About right,Too little,Too much,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,66,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,About right,Too little,Too little,About right,Too little,About right,Too little,Too much,Too much,Too much,67,Too much,Too little,About right,About right,About right,No answer,Too little,Ballot b
2016,Not applicable,Too little,Too little,Too little,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,68,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,69,About right,About right,About right,Too little,Too little,Too little,Too little,Ballot a
2016,Not applicable,About right,Too little,Too much,About right,Too little,Too much,Too much,Not applicable,Not applicable,Not applicable,70,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,Too little,Too little,Too much,Too little,Too little,Too little,Too little,Don't know,Too little,Too little,71,Too much,About right,About right,Too little,Too little,Too little,Too little,Ballot a
2016,Not applicable,About right,Too little,About right,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,72,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,No answer,Too little,Too little,Too little,About right,Too little,Don't know,Too little,Too little,Too much,Too little,73,About right,Too little,About right,Too little,Too little,Too little,Too little,Ballot b
2016,Not applicable,Too little,Too little,About right,Too little,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,74,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,Too little,About right,Too little,Too little,Too little,Too little,Too little,About right,About right,Too little,75,Too little,Too little,Too much,About right,About right,Too little,Too little,Ballot a
2016,Too much,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,76,About right,About right,About right,About right,About right,About right,About right,Ballot b
2016,Too little,About right,Too little,Too little,Too little,Too little,About right,Too little,Too little,Too much,Too little,77,About right,Too little,Too little,Don't know,Too much,Too little,Too little,Ballot a
2016,Not applicable,About right,About right,About right,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,78,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too little,About right,About right,About right,About right,Too little,About right,Too little,About right,Too much,Too little,79,Too little,Too little,Too much,Too little,About right,About right,Too little,Ballot c
2016,Not applicable,About right,Too little,About right,Too little,About right,Too little,About right,Not applicable,Not applicable,Not applicable,80,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,About right,Too much,About right,About right,About right,Too little,Too much,Not applicable,Not applicable,Not applicable,81,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,About right,Too little,About right,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,82,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,Too little,Too little,About right,Too little,About right,About right,Not applicable,Not applicable,Not applicable,83,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,Too much,Too little,About right,Too much,Too little,About right,About right,Not applicable,Not applicable,Not applicable,84,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,Too little,Don't know,Too little,About right,Don't know,Don't know,Too little,Too much,Too much,Too little,85,Don't know,Too little,Too little,Too little,Don't know,Too little,Too little,Ballot c
2016,Too much,About right,Too little,About right,About right,About right,Too little,About right,Too much,Too little,About right,86,Too much,Too little,Too little,Too little,Too little,About right,About right,Ballot a
2016,Not applicable,Too little,Too little,About right,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,87,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,About right,About right,About right,About right,About right,Too little,Too little,About right,Too much,About right,88,Don't know,Too little,Too little,Too much,Too little,Too little,About right,Ballot a
2016,Not applicable,About right,About right,Too little,Too little,Too little,About right,About right,Not applicable,Not applicable,Not applicable,89,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,About right,Too little,Too little,About right,Too little,Too little,Don't know,Not applicable,Not applicable,Not applicable,90,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,About right,About right,Too little,91,About right,Too little,Too little,Too little,Too little,Too little,Too little,Ballot b
2016,Too much,Too little,Too little,Too little,About right,About right,About right,Too little,Too little,About right,Too little,92,Don't know,Too little,Don't know,Too little,Too little,Too little,About right,Ballot c
2016,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too much,Too much,Too little,93,Don't know,Too little,Too little,Too little,Don't know,Too little,Too little,Ballot a
2016,Not applicable,Too little,Too little,Too little,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,94,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,Too little,About right,Too little,About right,Too much,About right,Too little,Too much,About right,Too much,95,About right,About right,About right,Too little,About right,About right,Too little,Ballot c
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,96,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,About right,About right,Too little,About right,Don't know,About right,Too little,Too much,Too much,Don't know,97,About right,Too little,About right,Too little,Too little,Don't know,Don't know,Ballot b
2016,Too little,Too little,About right,Too little,About right,Too little,About right,About right,Too little,Too much,Too little,98,Too little,Too little,Too little,Too little,About right,Too little,Too little,Ballot b
2016,Not applicable,Too little,About right,About right,About right,Don't know,Too little,Too little,Not applicable,Not applicable,Not applicable,99,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,Too little,About right,About right,About right,Too little,Too little,Too little,Too much,Too much,Too little,100,Too little,Too little,Too little,About right,About right,Too little,Too little,Ballot c
2016,Too much,About right,Too little,About right,About right,Too little,About right,Too little,Too much,Too much,Too little,101,Too much,About right,Too much,Too much,Too much,Too much,Too little,Ballot c
2016,Not applicable,Too little,About right,About right,About right,Too little,Too little,About right,Not applicable,Not applicable,Not applicable,102,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,103,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Don't know,Too little,Don't know,Don't know,Don't know,Don't know,About right,About right,Too much,Don't know,Don't know,104,Too much,Don't know,Too little,Don't know,Don't know,Don't know,Too little,Ballot c
2016,Not applicable,Too much,Too little,Too little,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,105,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,About right,Too much,About right,Don't know,Too much,About right,Not applicable,Not applicable,Not applicable,106,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too little,About right,Too little,About right,About right,Too little,About right,Too much,Too much,Too little,Too little,107,About right,Too little,Too little,Too little,Too little,About right,Too little,Ballot c
2016,Too little,Too little,About right,Too little,Too little,Too little,About right,Too little,Too much,About right,Too little,108,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Too little,Too little,Too little,Too little,About right,About right,About right,About right,About right,About right,About right,109,About right,Too little,Too little,About right,Too little,Too little,Too little,Ballot a
2016,Too much,About right,Too little,About right,About right,About right,About right,Too little,About right,About right,About right,110,About right,Too little,About right,About right,About right,About right,Too little,Ballot c
2016,Too much,Too little,Too little,Too little,About right,Too little,About right,About right,About right,About right,Too little,111,Too much,Too little,Too little,About right,About right,About right,Too little,Ballot a
2016,Not applicable,About right,Too little,About right,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,112,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,About right,Too little,About right,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,113,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,About right,Too little,About right,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,114,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,Too much,About right,About right,Too little,Too little,About right,About right,About right,About right,About right,115,About right,About right,Too little,About right,About right,About right,Too little,Ballot b
2016,About right,Too much,About right,About right,About right,Too little,About right,Too little,About right,Too much,Too little,116,Don't know,About right,Too little,Too little,About right,About right,Too little,Ballot c
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,117,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too much,Too little,Too little,118,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Ballot b
2016,About right,Too much,Too little,Too little,About right,Too little,Too little,Too little,About right,About right,About right,119,About right,Too little,Too little,About right,About right,About right,Too little,Ballot c
2016,Not applicable,About right,About right,About right,About right,About right,Too little,About right,Not applicable,Not applicable,Not applicable,120,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,About right,About right,Too little,Too little,Don't know,About right,Too little,Too much,About right,About right,121,Too little,Too little,Too little,Too little,Too little,About right,Too little,Ballot a
2016,Not applicable,Too little,Too little,Too much,About right,Too much,Don't know,About right,Not applicable,Not applicable,Not applicable,122,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,About right,About right,About right,Too little,Too little,Too little,Too little,About right,About right,About right,123,Too little,Too little,Too much,About right,About right,About right,Too much,Ballot c
2016,About right,About right,Too little,About right,Too little,Too little,About right,About right,Too much,About right,Too little,124,Too much,About right,Too little,Too little,About right,Too little,About right,Ballot a
2016,About right,Too little,About right,About right,Too little,Too little,Too little,Too little,About right,Too little,Too little,125,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Ballot b
2016,Not applicable,About right,Too little,Too little,About right,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,126,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,About right,About right,About right,About right,Too little,Too much,About right,Too much,Too little,Too little,127,About right,About right,Too little,Too much,Too little,Too little,Too much,Ballot a
2016,About right,About right,About right,Too little,About right,Too little,About right,About right,Too much,Too much,Too little,128,About right,Too little,Too little,About right,About right,Too little,Too little,Ballot c
2016,Not applicable,Too little,Too little,Too little,About right,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,129,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,130,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Not applicable,About right,About right,About right,About right,Too little,About right,About right,Not applicable,Not applicable,Not applicable,131,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,About right,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,132,About right,Too little,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Too little,About right,Too little,About right,Too little,Too little,About right,About right,About right,About right,Too little,133,About right,About right,Too little,About right,Too little,Too little,Too little,Ballot c
2016,About right,Too little,Too little,About right,About right,Too little,About right,About right,Too much,About right,Too little,134,About right,Too little,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Not applicable,About right,Too little,About right,About right,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,135,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too little,About right,Too little,About right,About right,Too little,Too little,Too little,About right,Too much,About right,136,About right,Too little,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Not applicable,Too little,About right,About right,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,137,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,Too little,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,138,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,About right,Too little,About right,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,139,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,Too little,Too little,Too much,Too little,Too little,Too little,Too little,Too much,Too little,Too much,140,About right,Too little,Too little,Too little,Too little,Too little,Too little,Ballot c
2016,Too much,Too little,Too little,About right,About right,Too little,Don't know,Too much,Too much,Too little,About right,141,About right,Too much,Too much,Too little,Too little,About right,Too much,Ballot a
2016,Not applicable,Don't know,Too little,Too much,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,142,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,Too little,Too little,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,143,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,About right,Too little,Don't know,About right,About right,About right,About right,Too much,About right,About right,144,About right,About right,Too little,Too little,Too little,Too little,About right,Ballot c
2016,Not applicable,Too little,About right,Too much,About right,Too little,Too little,Too much,Not applicable,Not applicable,Not applicable,145,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,About right,About right,Too little,About right,Too little,About right,About right,About right,About right,Too little,146,About right,Too little,About right,About right,Too little,Too little,Too little,Ballot b
2016,Too much,About right,About right,About right,About right,Don't know,Too little,Too little,About right,Too much,Don't know,147,About right,Too little,Too little,About right,About right,Don't know,Too little,Ballot c
2016,Not applicable,About right,Too little,Too little,Too little,About right,About right,About right,Not applicable,Not applicable,Not applicable,148,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,Too little,Too little,About right,About right,Too little,About right,Too little,Don't know,Too little,Too little,149,Too much,About right,Too little,Too little,Too little,Too little,Too little,Ballot b
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,150,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,151,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,Too little,Too much,Too little,Too little,Too little,About right,Too little,Don't know,Too much,Too little,152,Don't know,Too little,Too little,Too little,About right,Too little,Too little,Ballot b
2016,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,Too little,153,No answer,About right,About right,About right,Too little,About right,About right,Ballot c
2016,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,About right,About right,About right,154,About right,Too little,Too little,Too little,About right,About right,Too little,Ballot a
2016,Not applicable,Too little,Too little,About right,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,155,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
