text,topic
"An act to add and repeal Section 62.3 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Housing and Property
"An act to amend Section 2830 of the Public Utilities Code, relating to energy.",Energy
"An act to add Section 99500.5 to the Government Code, relating to international relations.",Resolutions
"An act to amend Section 25501 of the Public Resources Code, relating to energy.",Energy
"An act to add and repeal Article 2.75 (commencing with Section 14087.481) of Chapter 7 of Part 3 of Division 9 of the Welfare and Institutions Code, relating to Medi-Cal.",Health
"An act to amend Section 1276.5 of the Health and Safety Code, relating to health facilities.",Health
"An act to add Section 33355 to the Education Code, relating to interscholastic sports.",Education
"An act to amend Section 17085 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Labor and Employment
"An act to add Section 905 to the Code of Civil Procedure, relating to civil actions.",Legal Issues
"An act to add Section 116281 to the Health and Safety Code, relating to drinking water.",Environmental
An act relating to air pollution.,Energy
"and to amend Sections 14006.01 and 14139.3 of the Welfare and Institutions Code, relating to continuing care retirement.",Senior Issues
"An act to amend Section 121023 of the Health and Safety Code, relating to public health.",Health
"An act to amend Sections 703.150 and 704.730 of the Code of Civil Procedure, relating to enforcement of judgments.",Housing and Property
"An act to amend Section 16727 of, and to add Section 63037 to, the Government Code, relating to state funds, and making an appropriation therefor.",Commerce
"An act to amend Section 1255.7 of the Health and Safety Code, relating to child protection.",Family and Children Issues
"An act to add and repeal Article 18 (commencing with Section 18887) of Chapter 3 of Part 10.2 of Division 2 of the Revenue and Taxation Code, relating to taxation.","Budget, Spending, and Taxes"
"An act to amend Section 3042 of the Family Code, relating to child custody.",Family and Children Issues
"An act to add Article 3.7 (commencing with Section 989) to Chapter 6 of Division 4 of the Military and Veterans Code, relating to veterans.",Military
"An act to amend Section 7361 of, to amend, renumber, and add Section 7362 of, to add Section 7364 to, and to repeal Sections 7360 and 7363 of, the Fish and Game Code, relating to sport fishing.",Recreation
"An act to add Section 1766.2 to, to add and repeal Chapter 4 (commencing with Section 1400) of Part 1 of Division 2 of, and to repeal Chapter 4 (commencing with Section 1300) of Part 1 of Division 2 of, the Welfare and Institutions Code, relating to juveniles.",Family and Children Issues
"An act to amend Sections 11834.02, 11839.6, and 11876 of the Health and Safety Code, relating to alcoholism or drug abuse treatment.",Public Services
"An act to amend Section 4581 of the Public Resources Code, relating to forest practices.",Environmental
"An act to amend Sections 10830, 11020, 11450, 11450.12, 11450.13, and 11451.5 of, to add Section 18900.11 to, and to repeal and add Sections 11004.1, 11265.1, 11265.2, 11265.3, and 18910 of, the Welfare and Institutions Code, relating to public social services.",Labor and Employment
"An act to amend Sections 11155, 11155.1, and 11257 of the Welfare and Institutions Code, relating to CalWORKs.",Transportation
"Sections 1793.62, 129174.1, 25169.3, 25245, 25359.5, 25359.6, and 25396 of the Health and Safety Code, to amend Section 11655 of the Insurance Code, to amend Section 15643 of the Probate Code, to amend Section 4107 of the Public Contract Code, to amend Section 11923 of the Revenue and Taxation Code, to amend Section 9185 of the Streets and Highways Code, and to amend Section 9859 of the Vehicle Code, relating to bankruptcy.",Legal Issues
"An act to amend Sections 2102, 2142, 2150, 2162, and 2194 of, and to add Section 2101.5 to, the Elections Code, to amend Section 6254.4 of the Government Code, to add Section 19584.5 to the Revenue and Taxation Code, and to amend Section 12950.5 of, and to add Section 12500.5 to, the Vehicle Code, relating to elections.",Campaign Finance and Election Issues
"An act to add Section 23394.7 to the Business and Professions Code, relating to alcoholic beverages.",Legal Issues
"An act to repeal and add Section 1353.8 of the Civil Code, relating to common interest developments.",Environmental
"An act to amend Sections 17250.25 and 81703 of the Education Code, and to amend Sections 20133, 20175.2, and 20209.8 of the Public Contract Code, relating to public contracts.",Labor and Employment
"An act to amend Sections 17250.25 and 81703 of the Education Code, and to amend Sections 20133, 20175.2, and 20209.8 of the Public Contract Code, relating to public contracts.",Housing and Property
"An act to amend Sections 17250.30 and 81704 of the Education Code, and to amend Sections 20133, 20175.2, and 20209.7 of the Public Contract Code, relating to public contracts.",Housing and Property
"An act to amend, repeal, and add Section 4590 of the Public Resources Code, relating to forest practices.",Environmental
"An act to amend Sections 39807.5, 41850, 48853.5, and 49069.5 of the Education Code, and to amend Sections 358.1, 11460, 16010, and 16500.1 of, and to add Section 10104 to, the Welfare and Institutions Code, relating to children.",Education
"An act to add Section 9024 to the Elections Code, relating to elections.",Legislative Affairs
"An act to amend Sections 4802, 4808, 4810, 4848, 4848.3, 4849, 4875, 4875.2, 4875.6, 4876, 4883, 4885, 4886, 4887, 4900, 4901, 4901.1, and 4901.2 of, to amend, repeal, and add Section 4839 of, and to add Section 4841.4 to, the Business and Professions Code, relating to veterinary medicine, and making an appropriation therefor.",Other
"An act to amend Sections 801.01, 2006, 2008, 2225.5, 2227, and 2425.3 of, and to add Section 804.5 to, the Business and Professions Code, and to amend Sections 12529, 12529.5, 12529.6, and 12529.7 of the Government Code, relating to healing arts.",Health
"An act to amend Sections 2001, 2020, 2460, 2701, 2708, 3010.5, 3014.6, 3685, 3710, 4001, 4003, 4110, 4127.8, 4160, 4400, and 5810 of, to add and repeal Section 3686 of, and to repeal Section 4127.5 of, the Business and Professions Code, relating to professions and vocations, and making an appropriation therefor.",Labor and Employment
"An act to amend Section 8879.55 of, and to repeal Section 8879.56 of, the Government Code, relating to transportation, and declaring the urgency thereof, to take effect immediately.",Public Services
"An act to amend Section 7027.3 of the Business and Professions Code, relating to contractors.",Labor and Employment
"An act to add Sections 187 and 14408.5 to the Financial Code, relating to financial institutions.",Commerce
"An act to add Section 17140.6 to the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Military
"An act to add Section 71103.5 to the Public Resources Code, relating to the environment.",Environmental
"An act to add Section 1389.21 to the Health and Safety Code, and to add Section 10384.17 to the Insurance Code, relating to health care coverage.",Health
"An act to amend Section 1257.7 of the Health and Safety Code, relating to health facilities.",Health
"An act to amend Sections 65961, 66023, and 66452.22 of, and to add Section 66019 to, the Government Code, relating to local planning.",Commerce
"An act to add Section 39601.5 to the Health and Safety Code, relating to air pollution.",Environmental
"An act to amend Section 3400 of the Public Contract Code, relating to public contracts.",Labor and Employment
"An act to add Section 5420 to the Business and Professions Code, relating to outdoor advertising.",Commerce
"An act to amend Section 1281.85 of the Code of Civil Procedure, relating to arbitration.",Legal Issues
"An act to add Section 71410 to the Public Resources Code, relating to natural resources.",Environmental
An act relating to health care.,Health
"An act to amend Section 87482.6 of the Education Code, relating to community colleges.",Education
"An act to amend Sections 12220 and 12260 of the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to amend Sections 17309, 17315, 81141, and 81147 of the Education Code, relating to school facilities.",Education
"An act to add Section 24458 to the Revenue and Taxation Code, relating to taxation, and declaring the urgency thereof, to take effect immediately.",Commerce
"An act to amend Section 33204.4 of the Public Resources Code, relating to parks and open space.",Public Services
"An act to add Section 111187 to the Health and Safety Code, relating to bottled water.",Environmental
"An act to amend Section 13160 of the Water Code, relating to water quality.",Environmental
"An act to add Section 750 to the Public Utilities Code, relating to electricity.",Energy
"An act to add Chapter 5.6 (commencing with Section 25460) to Division 15 of the Public Resources Code, relating to energy, and making an appropriation therefor.",Energy
"An act to add Section 57006 to the Health and Safety Code, relating to environmental protection.",Environmental
"An act to add and repeal Section 2800 of the Public Utilities Code, relating to utility service.",Energy
"An act to amend Section 56375 of, and to add Sections 56057.5 and 56858 to, the Government Code, relating to local government.",Legislative Affairs
"An act to amend Section 17144.5 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Housing and Property
"An act to amend Section 26003 of, and to add Section 26011.7 to, the Public Resources Code, relating to energy.",Energy
"An act to amend Section 5068.5 of the Penal Code, relating to prisoners.",Health
"An act to amend Section 5099.12 of the Public Resources Code, relating to natural resources, and making an appropriation therefor.",Environmental
"An act to add Sections 1638.2 and 2259.8 to the Business and Professions Code, relating to cosmetic surgery.",Health
"An act to amend Section 11770 of the Insurance Code, relating to the State Compensation Insurance Fund, and declaring the urgency thereof, to take effect immediately.",Insurance
"An act to amend Sections 7195 and 7197 of, and to add Sections 7195.5, 7195.7, and 7195.9 to, the Business and Professions Code, relating to home inspectors.",Housing and Property
An act relating to works of improvement.,Other
"An act to amend Sections 100001.5, 100161, 100163, and 100164 of the Public Utilities Code, relating to transportation.",Transportation
"An act to add and repeal Chapter 2 (commencing with Section 10050) to Part 1 of Division 10 of the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to amend Sections 22351.5 and 22358 of the Business and Professions Code, relating to professions and vocations.",Labor and Employment
"An act to amend Section 56505 of the Education Code, relating to special education.",Education
"An act to add Section 1232 to the Government Code, relating to state employees, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",Labor and Employment
"An act to amend Sections 17074.50, 17074.52, and 17074.56 of the Education Code, relating to school facilities.",Education
"An act to amend Sections 8589.11, 8589.12, 8589.13, 8589.14, 8589.15, 8589.16, 8589.17, 8589.18, 8589.19, 8589.20, 8589.21, and 8589.22 of, and to add Article 5.6 (commencing with Section 8589.25) to Chapter 7 of Division 1 of Title 2 of the Government Code, relating to emergency services, and making an appropriation therefor.",Public Services
"An act to amend Section 12027.1 of the Penal Code, relating to firearms.",Guns
"An act to amend Section 1367.65 of the Health and Safety Code, and to amend Section 10123.81 of the Insurance Code, relating to health care coverage.",Health
"An act to add Section 52052.6 to the Education Code, relating to education.",Education
"An act to amend Section 12811 of, and to add Section 4150.3 to, the Vehicle Code, relating to anatomical gifts.",Transportation
"An act to amend Sections 18520, 18521, 18522, and 18540 of, and to add Section 18522.5 to, the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to amend Sections 103, 9602, and 11303 of the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to amend Section 4602 of the Vehicle Code, relating to vehicles.",Transportation
"An act to amend Section 13995.47 of the Government Code, relating to California tourism.",Commerce
"An act to amend Section 7302 of the Business and Professions Code, relating to barbering and cosmetology.",Other
"An act to amend Sections 17053.74 and 23634 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.","Budget, Spending, and Taxes"
"An act to add Section 237 to the Welfare and Institutions Code, relating to juveniles.",Family and Children Issues
"An act to amend Sections 42250, 42253, and 42254 of, to amend and renumber Section 42257 of, to repeal Section 42256 of, and to add Sections 42258, 42259, 42260, 42261, and 42262 to, the Public Resources Code, relating to carryout bags.",Commerce
"An act to amend Sections 14018.2 and 14019.4 of the Welfare and Institutions Code, relating to Medi-Cal.",Health
"An act to add Section 1367.225 to the Health and Safety Code, and to add Section 10123.197 to the Insurance Code, relating to health care coverage.",Health
"An act to amend Section 5604 of the Business and Professions Code, relating to architects, and making an appropriation therefor.",Other
"An act to amend Section 47605.1 of the Education Code, relating to charter schools.",Education
"An act to add Section 118276 to the Health and Safety Code, relating to public health.",Health
"An act to add Section 16168 to the Welfare and Institutions Code, relating to foster youth.",Health
"An act to amend Section 87500.1 of the Government Code, relating to the Political Reform Act of 1974.",Campaign Finance and Election Issues
"An act to amend Sections 131502, 131511, 131520, 131521, and 131540 of, and to add Sections 131532 and 131542 to, the Health and Safety Code, relating to health care coverage.",Health
"Code, to amend Sections 45855, 45863, 45981, and 45982 of the Revenue and Taxation Code, and to amend Section 31560 of the Vehicle Code, relating to solid waste.",Environmental
"An act to amend Section 22651 of the Vehicle Code, relating to vehicles.",Transportation
"An act to amend Sections 19510, 19520, and 19604 of, and to add Section 19532.2 to, the Business and Professions Code, relating to horse racing, and declaring the urgency thereof, to take effect immediately.",Recreation
"An act to add Section 76000.10 to the Government Code, relating to emergency services.",Public Services
An act relating to the California Interscholastic Federation.,Education
"An act to amend Section 21107.8 of the Vehicle Code, relating to vehicles.",Transportation
"An act to amend Section 84362 of the Education Code, relating to community colleges.",Labor and Employment
"An act to amend Section 65460.2 of the Government Code, relating to transit facilities.",Transportation
"An act to amend Sections 20211 and 20301 of, and to add Section 20916.1 to, the Public Contract Code, and to repeal and add Section 103222 of the Public Utilities Code, relating to transportation.",Labor and Employment
"An act to add Section 1632.5 to the Civil Code, relating to contracts.",Labor and Employment
"An act to amend Section 19635 of the Government Code, relating to state employment.",Labor and Employment
"An act to amend Section 1250 of the Health and Safety Code, relating to health facilities.",Health
"Sections 1808.4, 4156, 22651, and 26708 of the Vehicle Code, to amend Sections 35521, 79441, and 83002 of the Water Code, to amend Sections 223.1, 241.1, 391, 903.1, 4688.6, 4691, 4783, 4860, 5777, 11402.6, 12315, 14005.25, 14007.9, 14011.16, 14091.3, 14105.19, 14105.191, 14105.3, 14105.86, 14107.2, 14126.033, 14126.034, 14132.725, 14154, 14154.5, 14166.9, 14166.25, 14199.2, 14301.1, 14526.1, and 15660 of, and to amend and renumber Section 618.5 of, the Welfare and Institutions Code, and to amend Section 5 of Chapter 898 of the Statutes of 1997, Section 2 of Chapter 235 of the Statutes of 2008, and Section 65 of Chapter 758 of the Statutes of 2008, and to add Section 3 to Chapter 635 of the Statutes of 1999, relating to the maintenance of the codes.",Other
"An act to amend Sections 3041 and 3041.5 of the Penal Code, relating to parole.",Crime
"An act to add Section 12058 to the Penal Code, relating to firearms.",Guns
"An act to amend Section 127 of the Business and Professions Code, relating to professions and vocations.",Labor and Employment
"An act to amend Section 1790 of the Health and Safety Code, relating to continuing care contracts.",Senior Issues
"An act to amend Section 5028 of, and to add Section 5058.2 to, the Business and Professions Code, relating to accountants.",Health
"An act to add Section 290.47 to the Penal Code, relating to sex offenders, and making an appropriation therefor.",Housing and Property
"An act to amend Section 75470 of, to amend the heading of Chapter 5 (commencing with Section 75470) of Part 8 of Division 21 of, and to add Section 74200.5 to, the Water Code, and to add Sections 4.5 and 5.5 to Chapter 819 of the Statutes of 1971, relating to water conservation districts.",Environmental
"An act to add Article 5.7 (commencing with Section 14186) to Chapter 7 of Part 3 of Division 9 of the Welfare and Institutions Code, relating to Medi-Cal.",Health
"An act to repeal and add Section 53395.8 of the Government Code, and to amend Section 96.1 of the Revenue and Taxation Code, relating to infrastructure financing districts.",Municipal and County Issues
"An act to add Chapter 7 (commencing with Section 8260) to Division 8 of the Welfare and Institutions Code, relating to homelessness.",Welfare and Poverty
"An act to amend Section 1874.87 of the Insurance Code, relating to motor vehicle insurance.",Transportation
"An act to add Part 9 (commencing with Section 38650) to Division 25.5 of the Health and Safety Code, relating to air pollution.",Environmental
"An act to add Section 92612.5 to the Education Code, relating to the University of California.",Labor and Employment
"An act to amend Sections 84203, 84204, 84215, 84218, 84225, 84605, 85200, 86100, 86107, and 86118 of the Government Code, relating to the Political Reform Act of 1974.",Campaign Finance and Election Issues
"71020 of, the Education Code, to repeal Articles 8 (commencing with Section 550) and 10 (commencing with Section 592) of Chapter 3 of Part 1 of Division 1 of the Food and Agricultural Code, to amend Section 67480 of the Government Code, and to amend Sections 104145, 104500, and 104530 of the Health and Safety Code, relating to public postsecondary education.",Education
"An act to amend Sections 9562 and 9565 of the Welfare and Institutions Code, relating to seniors.",Senior Issues
"An act to amend Section 103425 of the Health and Safety Code, relating to birth certificates.",Legal Issues
"An act to amend Section 43845 of the Health and Safety Code, relating to air pollution.",Labor and Employment
"An act to add Division 26.7 (commencing with Section 79700) to the Water Code, relating to financing a water supply reliability and water source protection program, by providing the funds necessary therefor through an election for the issuance and sale of bonds of the State of California and for the handling and disposition of those funds.",Environmental
"An act to amend Sections 156 and 156.1 of, and to add Sections 156.5 and 156.6 to, to repeal Section 156.4 of, and to repeal and add Section 156.3 of, the Streets and Highways Code, relating to fish passages.",Animal Rights and Wildlife Issues
"An act to amend Section 1365.5 of the Health and Safety Code, and to add Section 10140.2 to the Insurance Code, relating to health care coverage.",Health
"An act to amend Section 401 of the Military and Veterans Code, relating to military service.",Military
"An act to amend Section 25660 of the Business and Professions Code, relating to alcoholic beverages.",Legal Issues
"An act to add Section 11250.5 to the Welfare and Institutions Code, relating to public social services.",Public Services
"An act to add Title 21 (commencing with Section 99600) to the Government Code, relating to state government.",State Agencies
"An act to amend Section 8286 of the Education Code, relating to child care and development programs.",Family and Children Issues
"An act to amend Sections 12650, 12651, 12652, and 12654 of the Government Code, relating to the False Claims Act.",Legal Issues
"An act to amend Sections 8592.1, 8592.4, and 8592.5 of the Government Code, relating to public safety.",Technology and Communication
"An act to amend Section 18901.3 of the Welfare and Institutions Code, relating to food stamps.",Welfare and Poverty
"An act to repeal and add Section 53395.8 of the Government Code, and to amend Section 96.1 of the Revenue and Taxation Code, relating to infrastructure financing districts.",Municipal and County Issues
"Welfare and Institutions Code, relating to foster children.",Other
"An act to amend Sections 809, 809.2, and 809.3 of, and to add Sections 809.04, 809.07, and 809.08 to, the Business and Professions Code, relating to healing arts.",Health
"An act to amend Section 758.5 of the Insurance Code, relating to motor vehicle insurance.",Transportation
"An act to amend Section 1367.36 of the Health and Safety Code, and to add Sections 10123.56 and 12693.56 to the Insurance Code, relating to health care coverage.",Health
"An act to amend Section 8879.59 of the Government Code, relating to transportation.",Transportation
"An act to amend Section 27803 of the Vehicle Code, relating to vehicles.",Transportation
"An act to amend Section 422.55 of the Penal Code, relating to hate crimes.",Crime
"An act to amend Section 68130.5 of the Education Code, relating to student tuition.",Education
"An act to add Section 2912.5 to the Penal Code, relating to alien inmates.",Immigration
"An act to amend Section 853.6 of the Penal Code, relating to criminal procedure.",Legal Issues
"An act to amend Sections 697.510 and 697.670 of the Code of Civil Procedure, relating to judgment liens.",Judiciary
"An act to amend Section 1367 of the Health and Safety Code, relating to health care service plans.",Health
"An act to add Article 3 (commencing with Section 43300) to Chapter 2 of Part 5 of Division 26 of the Health and Safety Code, relating to vehicle emissions.",Environmental
"An act to add Sections 19852.2, and 19852.4 to the Government Code, relating to public employment.",Labor and Employment
"An act to amend Section 29413 of the Food and Agricultural Code, relating to honey.",Agriculture and Food
"An act to amend Sections 35550 and 35650 of, and to add Section 35617 to, the Public Resources Code, relating to ocean resources.",Agriculture and Food
"An act to amend Section 1386 of, and to add Article 6.2 (commencing with Section 1385.01) to Chapter 2.2 of Division 2 of, the Health and Safety Code, and to add Article 4.5 (commencing with Section 10181) to Chapter 1 of Part 2 of Division 2 of the Insurance Code, relating to health care coverage, and making an appropriation therefor.",Health
"An act to amend Sections 12509 and 12814.6 of, and to add Section 12811.2 to, the Vehicle Code, relating to vehicles.",Transportation
An act relating to water.,Environmental
"An act to amend Sections 89090, 89090.5, 92630, and 92630.9 of, and to add Sections 89090.3 and 92630.3 to, the Education Code, relating to public postsecondary education.",Education
"An act to add Section 44257.3 to the Education Code, relating to linked learning.",Education
"An act to amend Section 149.9 of the Streets and Highways Code, relating to transportation.",Transportation
"An act to add and repeal Section 4001 of the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to amend Sections 1505, 1568.03, and 1569.145 of the Health and Safety Code, relating to community care facilities.",Housing and Property
"An act to add Section 66302 to the Education Code, relating to online harassment.",Social Issues
"An act to add Section 44929.24 to the Education Code, relating to certificated school employees.",Labor and Employment
"An act to amend Sections 5047, 5047.5, 5062, 5063.5, 5132, 5150, 5151, 5211, 5212, 5213, 5220, 5222, 5231, 6610, 7132, 7150, 7151, 7211, 7212, 7213, 7220, 7222, 7231, 8610, 9132, 9151, 9211, 9212, 9213, 9220, 9222, 9241, 9680, 9916, 12233, 12241, 12242.5, 12330, 12331, 12351, 12352, 12353, 12360, 12362, 12371, 12630, 12694, 18360, and 24001.5 of, to add Sections 5039.5 and 12228.5 to, and to add Article 6 (commencing with Section 9260) to Chapter 2 of Part 4 of Division 2 of Title 1 of, the Corporations Code, relating to corporations.",Health
"An act to amend Sections 809, 809.2, and 809.3 of, and to add Sections 809.04, 809.07, and 809.08 to, the Business and Professions Code, relating to healing arts.",Health
"An act to add Section 11713.07 to the Vehicle Code, relating to vehicles.",Transportation
"An act to amend Section 52240 of the Education Code, relating to pupils.",Education
"An act to add Section 2062.5 to the Penal Code, relating to prisoners.",Education
"An act to add Section 9723.3 to the Business and Professions Code, relating to cemeteries, and declaring the urgency thereof, to take effect immediately.",Other
"An act to amend Sections 81361, 81367, 81370, 81372, and 81375 of, to add Section 81523.5 to, and to repeal Sections 81371 and 81373 of, the Education Code, relating to community colleges.",Education
"An act to add Section 19826.3 to the Government Code, relating to state employees.",Labor and Employment
"An act to add Section 106.3 to the Water Code, relating to water.",Environmental
"An act to add Chapter 3.01 (commencing with Section 6204) to Division 7 of Title 1 of the Government Code, relating to public records.",State Agencies
"An act to amend Section 9002 of the Penal Code, relating to sex offenders.",Housing and Property
"An act to amend Section 1219 of the Code of Civil Procedure, relating to domestic violence.",Social Issues
"An act to add Title 25 (commencing with Section 100000) to the Government Code, relating to retirement, and making an appropriation therefor.",Senior Issues
"An act to amend Section 69504 of the Education Code, relating to student aid.",Education
"An act to add Section 4592.5 to the Public Resources Code, relating to forestry.",Environmental
"An act to amend Section 30106 of the Public Resources Code, relating to coastal resources, and declaring the urgency thereof, to take effect immediately.",Environmental
An act relating to prisoners.,Crime
"An act to amend Section 84203.5 of the Government Code, relating to the Political Reform Act of 1974.",Campaign Finance and Election Issues
"An act to amend Section 42921 of the Education Code, relating to foster youth services.",Family and Children Issues
"An act to add Section 9114.5 to the Welfare and Institutions Code, relating to area agencies on aging.",Senior Issues
"An act to add Article 4 (commencing with Section 790) to Chapter 2.5 of Division 1 of the Public Resources Code, relating to forestry and fire protection.",Environmental
"An act to amend Sections 3030 and 3030.5 of the Family Code, relating to child custody.",Family and Children Issues
"An act to amend Section 1162 of the Code of Civil Procedure, relating to unlawful detainer.",Crime
"to add Sections 11549.7 and 11549.8 to, to add the headings of Article 1 (commencing with Section 11549) and Article 2 (commencing with Section 11549.5) to Chapter 5.7 of Part 1 of Division 3 of Title 2 of, and to repeal Section 11549.2 of, the Government Code, to amend Sections 12100.7, 12101, 12103, 12104, 12105, 12120, and 12121 of the Public Contract Code, to amend Sections 41030, 41031, 41032, 41136, 41136.1, 41137, 41137.1, 41138, 41139, 41140, 41141, and 41142 of the Revenue and Taxation Code, and to amend Section 16501.7 of the Welfare and Institutions Code, relating to state government information technology.",State Agencies
"An act to amend Sections 110, 1210, 1211, 1212, 1501.2, 1583, 14250, 14313, and 14315 of, to add Sections 220, 221, 222, 223, 230.5, 236, 250.5, 291, 292, 292.5, 352, 353, 354, 355, 356, 357, 511, 770, 1339, 3828, and 14212 to, to add Article 7 (commencing with Section 295), Article 8 (commencing with Section 305), and Article 9 (commencing with Section 335) to Chapter 2 of Division 1 of, to repeal Sections 100, 101, 107.5, 116, 117, 118, 684, 1910, 1911, 1911.5, 1912, 1913, 1913.5, 1951, and 1952 of, to repeal Chapter 17 (commencing with Section 3100) of Division 1 of, and to repeal Chapter 11 (commencing with Section 31700) of Division 15 of, the Financial Code, relating to financial institutions.",Commerce
"An act to amend Section 14007.9 of the Welfare and Institutions Code, relating to Medi-Cal.",Health
"An act to amend Section 3111 of, to add Article 2.5 (commencing with Section 3116) to Chapter 8.5 of Division 4 of Title 1 of, and to repeal and add Article 2 (commencing with Section 3113) of Chapter 8.5 of Division 4 of Title 1 of, the Government Code, relating to volunteer service.",Labor and Employment
"An act to amend Sections 3001, 3009, 3017 of, and to add Section 3025 to, the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to add Section 1797.259 to the Health and Safety Code, relating to public health.",Health
"An act to amend Sections 86109.5 and 86116 of, and to add Section 86119 to, the Government Code, relating to the Political Reform Act of 1974.",Campaign Finance and Election Issues
"An act to add Section 23153.5 to the Vehicle Code, relating to vehicles.",Transportation
"An act to add Chapter 1 (commencing with Section 100000) to Title 20 of the Government Code, relating to international trade.",Commerce
"An act to add Section 16752.2 to the Government Code, relating to state finance.",State Agencies
"An act to amend Section 9088 of the Elections Code, relating to elections.",Campaign Finance and Election Issues
An act relating to fish and game.,Animal Rights and Wildlife Issues
"An act to amend Section 273ab of the Penal Code, relating to child abuse.",Family and Children Issues
"An act to add Section 49062.5 to the Education Code, relating to pupil data.",Education
"An act to amend Section 25600 of the Business and Professions Code, relating to alcoholic beverages, and declaring the urgency thereof, to take effect immediately.",Legal Issues
"An act to amend Section 11834.03 of the Health and Safety Code, relating to alcohol and drug abuse treatment facilities.",Health
"An act to amend Section 51 of the Labor Code, relating to employment.",Labor and Employment
"An act to amend Section 12072 of the Penal Code, relating to firearms.",Business and Consumers
"An act to amend Section 1363.5 of the Health and Safety Code, and to amend Section 10123.135 of the Insurance Code, relating to health care coverage.",Health
"An act to add Article 2.5 (commencing with Section 2811) to Chapter 2 of Division 3 of the Labor Code, relating to employment.",Labor and Employment
"An act to add Section 5023.3 to the Penal Code, relating to prisoners.",Health
"An act to add Sections 7099.1 and 21028 to the Revenue and Taxation Code, and to add Section 13019 to the Unemployment Insurance Code, relating to taxation, and declaring the urgency thereof, to take effect immediately.",Business and Consumers
"An act to add Chapter 5.7 (commencing with Section 19245) to Part 2 of Division 5 of Title 2 of the Government Code, relating to public employment.",Labor and Employment
"An act to amend Sections 1513, 1513.5, 1514, 1516, 1520, 1532, 1560, and 1577 of the Code of Civil Procedure, relating to unclaimed property.",Legal Issues
