Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
38.0	48.0			14.0	baldwin-wallace-university-26139	Baldwin Wallace University	2016-10-09	2016-10-11		Likely Voters	1152	3.0	Internet	Nonpartisan	None
34.0	43.0	10.0	3.0	10.0	baldwin-wallace-university-26139	Baldwin Wallace University	2016-10-09	2016-10-11		Likely Voters	1152	3.0	Internet	Nonpartisan	None
39.0	44.0	7.0	2.0	9.0	lucid-the-times-picayune-26376	Lucid/The Times-Picayune	2016-10-07	2016-10-10		Likely Voters	1304		Internet	Nonpartisan	None
46.0	50.0		4.0		upi-cvoter-26060	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	341		Internet	Nonpartisan	None
42.0	46.0	5.0	4.0	3.0	cbs-yougov-26014	CBS/YouGov	2016-10-05	2016-10-07		Likely Voters	997	3.9	Internet	Nonpartisan	None
43.0	44.0	5.0	2.0	6.0	ppp-d-25989	PPP (D)	2016-10-05	2016-10-06	The candidates for President are Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein. If the election was today, who would you vote for?	Likely Voters	782	3.5	IVR/Online	Pollster	Dem
47.0	48.0			4.0	ppp-d-25989	PPP (D)	2016-10-05	2016-10-06	If you had to choose between just Democrat Hillary Clinton and Republican Donald Trump, who would you vote for?	Likely Voters	782	3.5	IVR/Online	Pollster	Dem
40.0	43.0	8.0	3.0	5.0	targetsmart-william-mary-26010	TargetSmart/William & Mary	2016-10-03	2016-10-06		Likely Voters	812		Live Phone/Online	Nonpartisan	None
43.0	46.0			11.0	targetsmart-william-mary-26010	TargetSmart/William & Mary	2016-10-03	2016-10-06		Likely Voters	812		Live Phone/Online	Nonpartisan	None
43.0	46.0			11.0	ipsos-reuters-26126	Ipsos/Reuters	2016-09-16	2016-10-06		Likely Voters	822		Internet	Nonpartisan	None
42.0	44.0	5.0	2.0	6.0	monmouth-university-25969	Monmouth University	2016-10-01	2016-10-04	If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the independent Libertarian, or Jill Stein of the Green Party?	Likely Voters	405	4.9	Live Phone	Nonpartisan	None
42.0	44.0	8.0	1.0	6.0	anzalone-d-ohio-education-association-25985	Anzalone (D-Ohio Education Association)	2016-09-27	2016-10-02	If the election for President were held today and the candidates were-- Hillary Clinton, a Democrat, Donald Trump, a Republican, Gary Johnson of the Libertarian Party, or Jill Stein of the Green Party, for whom would you vote?	Likely Voters	800	3.46	Live Phone	Sponsor	Dem
44.0	46.0		5.0	5.0	anzalone-d-ohio-education-association-25985	Anzalone (D-Ohio Education Association)	2016-09-27	2016-10-02		Likely Voters	800	3.46	Live Phone	Sponsor	Dem
47.0	42.0	6.0	1.0	4.0	quinnipiac-25843	Quinnipiac	2016-09-27	2016-10-02	If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?	Likely Voters	497	4.4	Live Phone	Nonpartisan	None
49.0	46.0		1.0	4.0	quinnipiac-25843	Quinnipiac	2016-09-27	2016-10-02	If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?	Likely Voters	497	4.4	Live Phone	Nonpartisan	None
49.0	48.0		4.0		upi-cvoter-25932	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	548		Internet	Nonpartisan	None
43.0	44.0			13.0	ipsos-reuters-25879	Ipsos/Reuters	2016-09-09	2016-09-29		Likely Voters	769		Internet	Nonpartisan	None
49.0	48.0		4.0		upi-cvoter-25767	UPI/CVOTER	2016-09-12	2016-09-25		Likely Voters	554		Internet	Nonpartisan	None
37.0	40.0	8.0	4.0	2.0	targetsmart-william-mary-25739	TargetSmart/William & Mary	2016-09-15	2016-09-22	In the election for President this November, if the election were held today and the candidates were: Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein -- for whom would you vote?	Likely Voters	652		Live Phone/Online	Nonpartisan	None
40.0	43.0			16.0	targetsmart-william-mary-25739	TargetSmart/William & Mary	2016-09-15	2016-09-22	And, if the election were held today and the candidates were: Democrat Hillary Clinton and Republican Donald Trump -- for whom would you vote?	Likely Voters	652		Live Phone/Online	Nonpartisan	None
43.0	46.0			11.0	ipsos-reuters-25708	Ipsos/Reuters	2016-09-02	2016-09-22		Likely Voters	550		Internet	Nonpartisan	None
42.0	37.0	6.0	4.0	11.0	fox-news-25609	Fox News	2016-09-18	2016-09-20		Likely Voters	737	3.5	Live Phone	Nonpartisan	None
45.0	40.0		1.0	13.0	fox-news-25609	Fox News	2016-09-18	2016-09-20		Likely Voters	737	3.5	Live Phone	Nonpartisan	None
41.0	39.0	11.0	4.0	4.0	gqr-d-democracy-corps-wvwv-25639	GQR (D-Democracy Corps/WVWV)	2016-09-10	2016-09-19	I know it's a long way off, but thinking about the election for President in November, if the election for President were held today, would you vote for -- Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson or Green Party Candidate Jill Stein?	Likely Voters	400	4.9	Live Phone	Sponsor	Dem
44.0	47.0			9.0	ipsos-reuters-25565	Ipsos/Reuters	2016-08-26	2016-09-15		Likely Voters	625		Internet	Nonpartisan	None
42.0	39.0	4.0	2.0	13.0	suffolk-25502	Suffolk	2016-09-12	2016-09-14	The Ohio ballot contains five candidates for President Democrat Hillary Clinton, nonparty Richard Duncan, Gary Johnson, Green Party Jill Stein, Republican Donald Trump. If the general election was held today for whom will you vote or lean toward?	Likely Voters	500	4.4	Live Phone	Nonpartisan	None
48.0	43.0		6.0	3.0	bloomberg-selzer-25477	Bloomberg/Selzer	2016-09-09	2016-09-12	If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?	Likely Voters	802	3.5	Live Phone	Nonpartisan	None
44.0	39.0	10.0	3.0	5.0	bloomberg-selzer-25477	Bloomberg/Selzer	2016-09-09	2016-09-12	If the general election were held today, and the candidates were Hillary Clinton for the Democrats, Donald Trump for the Republicans, Gary Johnson for the Libertarian Party, and Jill Stein for the Green Party, for whom would you vote?	Likely Voters	802	3.5	Live Phone	Nonpartisan	None
46.0	41.0	8.0	4.0	1.0	cnn-25494	CNN	2016-09-07	2016-09-12	Now suppose that the presidential candidates on the ballot in your state included Hillary Clinton as the Democratic Party’s candidate, Donald Trump as the Republican Party’s candidate, Gary Johnson as the independent candidate, and Jill Stein as the Green Party candidate, who would you be more likely to vote for?	Likely Voters	769	3.5	Live Phone	Nonpartisan	None
50.0	46.0		3.0	0.0	cnn-25494	CNN	2016-09-07	2016-09-12	Suppose that the presidential election were being held today and you had to choose between Hillary Clinton and Tim Kaine as the Democratic Party’s candidates, and Donald Trump and Mike Pence as the Republican Party’s candidates. Who would you be more likely to vote for?	Likely Voters	769	3.5	Live Phone	Nonpartisan	None
39.0	46.0	7.0	4.0	4.0	cbs-yougov-25449	CBS/YouGov	2016-09-07	2016-09-09		Likely Voters	994	3.9	Internet	Nonpartisan	None
46.0	45.0		3.0	6.0	quinnipiac-25427	Quinnipiac	2016-08-29	2016-09-07	If the election for President were being held today, and the candidates were Hillary Clinton the Democrat and Donald Trump the Republican, for whom would you vote? As of today, do you lean more toward Clinton or Trump?	Likely Voters	775	3.5	Live Phone	Nonpartisan	None
41.0	37.0	14.0	4.0	5.0	quinnipiac-25427	Quinnipiac	2016-08-29	2016-09-07	If the election for President were being held today, and the candidates were Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian, and Jill Stein the Green party candidate, for whom would you vote?	Likely Voters	775	3.5	Live Phone	Nonpartisan	None
46.0	43.0			11.0	washpost-surveymonkey-25354	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	2543		Internet	Nonpartisan	None
40.0	37.0	13.0	4.0	7.0	washpost-surveymonkey-25354	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	2543		Internet	Nonpartisan	None
42.0	46.0			12.0	ppp-d-nelp-25315	PPP (D-NELP) 	2016-08-26	2016-08-27	The candidates for President are Democrat Hillary Clinton and Republican Donald Trump. If the election was today, who would you vote for?	Likely Voters	1134	2.9	IVR/Online	Sponsor	Dem
39.0	43.0	10.0	0.0	8.0	monmouth-university-25232	Monmouth University	2016-08-18	2016-08-21	If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the independent Libertarian, or Jill Stein of the Green Party?	Likely Voters	402	4.9	Live Phone	Nonpartisan	None
40.0	46.0	6.0	4.0	4.0	cbs-yougov-25219	CBS/YouGov	2016-08-17	2016-08-19		Likely Voters	997	3.9	Internet	Nonpartisan	None
38.0	43.0		10.0	9.0	nbc-wsj-marist-25105	NBC/WSJ/Marist	2016-08-03	2016-08-07	If November's presidential election were held today, whom would you support if the candidates are:	Registered Voters	889	3.3	Live Phone	Nonpartisan	None
35.0	39.0	12.0	5.0	9.0	nbc-wsj-marist-25105	NBC/WSJ/Marist	2016-08-03	2016-08-07	If November's presidential election were held today, whom would you support if the candidates are:	Registered Voters	889	3.3	Live Phone	Nonpartisan	None
45.0	49.0		2.0	4.0	quinnipiac-25102	Quinnipiac	2016-07-30	2016-08-07	If the election for President were being held today, and the candidates were Hillary Clinton the Democrat and Donald Trump the Republican, for whom would you vote? As of today, do you lean more toward Clinton or Trump?	Likely Voters	812	3.4	Live Phone	Nonpartisan	None
42.0	44.0	8.0	4.0	3.0	quinnipiac-25102	Quinnipiac	2016-07-30	2016-08-07	If the election for President were being held today, and the candidates were Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian, and Jill Stein the Green party candidate, for whom would you vote?	Likely Voters	812	3.4	Live Phone	Nonpartisan	None
42.0	39.0	6.0	2.0	10.0	ppp-d-24961	PPP (D)	2016-07-22	2016-07-24	The candidates for President are Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein. If the election was today, who would you vote for?	Likely Voters	1334	2.7	IVR/Online	Pollster	Dem
45.0	45.0			10.0	ppp-d-24961	PPP (D)	2016-07-22	2016-07-24	If you had to choose between just Democrat Hillary Clinton and Republican Donald Trump, who would you vote for?	Likely Voters	1334	2.7	IVR/Online	Pollster	Dem
44.0	44.0			12.0	suffolk-24948	Suffolk	2016-07-18	2016-07-20	If the general election was held today and the candidates were Democrat Hillary Clinton or Republican Donald Trump, for whom will you vote or lean towards?	Likely Voters	500	4.4	Live Phone	Nonpartisan	None
39.0	43.0	5.0	1.0	13.0	suffolk-24948	Suffolk	2016-07-18	2016-07-20	Ohio’s presidential ballot may include Libertarian Gary Johnson and Green Party candidate Jill Stein. If the general election was held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump, Green Party Jill Stein, or Libertarian Gary Johnson, for whom will you vote or lean?	Likely Voters	500	4.4	Live Phone	Nonpartisan	None
40.0	44.0		11.0	5.0	cbs-yougov-24910	CBS/YouGov	2016-07-13	2016-07-15		Likely Voters	1104	3.5	Internet	Nonpartisan	None
41.0	41.0		4.0	14.0	quinnipiac-24870	Quinnipiac	2016-06-30	2016-07-11		Registered Voters	955	3.2	Live Phone	Nonpartisan	None
37.0	36.0	7.0	7.0	13.0	quinnipiac-24870	Quinnipiac	2016-06-30	2016-07-11		Registered Voters	955	3.2	Live Phone	Nonpartisan	None
39.0	39.0		11.0	10.0	nbc-wsj-marist-24876	NBC/WSJ/Marist	2016-07-05	2016-07-10	If November's presidential election were held today, whom would you support if the candidates are:	Registered Voters	848	3.4	Live Phone	Nonpartisan	None
35.0	38.0	9.0	6.0	12.0	nbc-wsj-marist-24876	NBC/WSJ/Marist	2016-07-05	2016-07-10	If November's presidential election were held today, whom would you support if the candidates are:	Registered Voters	848	3.4	Live Phone	Nonpartisan	None
47.0	46.0		7.0		gravis-marketing-oann-24940	Gravis Marketing/OANN	2016-06-27	2016-06-28	If the election for President were held today, for whom would you vote?	Registered Voters	1270	2.8	Automated Phone	Nonpartisan	None
38.0	41.0		9.0	11.0	raba-research-24973	RABA Research	2016-06-22	2016-06-28	The candidates for president are Republican Donald Trump and Democrat Hillary Clinton. If the election were held today, for whom would you vote?	Likely Voters	599	4.0	Live Phone	Nonpartisan	None
40.0	44.0			16.0	ppp-d-americans-united-for-change-constitutional-responsibility-project-24788	PPP (D-Americans United for Change/Constitutional Responsibility Project) 	2016-06-22	2016-06-23		Likely Voters	708	3.7	IVR/Online	Sponsor	Dem
48.0	47.0		3.0	2.0	gqr-d-democracy-corps-women-s-voices-women-vote-24847	GQR (D-Democracy Corps/Women's Voices Women Vote)	2016-06-11	2016-06-20		Likely Voters	300	5.66	Live Phone	Sponsor	Dem
41.0	41.0	14.0	1.0	4.0	gqr-d-democracy-corps-women-s-voices-women-vote-24847	GQR (D-Democracy Corps/Women's Voices Women Vote)	2016-06-11	2016-06-20		Likely Voters	300	5.66	Live Phone	Sponsor	Dem
40.0	40.0		6.0	14.0	quinnipiac-24721	Quinnipiac	2016-06-08	2016-06-19		Registered Voters	971	3.1	Live Phone	Nonpartisan	None
36.0	38.0	8.0	5.0	13.0	quinnipiac-24721	Quinnipiac	2016-06-08	2016-06-19		Registered Voters	971	3.1	Live Phone	Nonpartisan	None
39.0	45.0			16.0	zogby-internet-24556	Zogby (Internet)	2016-05-18	2016-05-22		Likely Voters	679	3.8	Internet	Nonpartisan	None
33.0	38.0		9.0	20.0	zogby-internet-24556	Zogby (Internet)	2016-05-18	2016-05-22		Likely Voters	679	3.8	Internet	Nonpartisan	None
39.0	44.0			17.0	cbs-yougov-24530	CBS/YouGov	2016-05-16	2016-05-19		Likely Voters	992	3.7	Internet	Nonpartisan	None
43.0	39.0		3.0	14.0	quinnipiac-24464	Quinnipiac	2016-04-27	2016-05-08		Registered Voters	1042	3.0	Live Phone	Nonpartisan	None
42.0	45.0			14.0	ppp-d-24417	PPP (D)	2016-04-26	2016-04-27		Registered Voters	799	3.2	IVR/Online	Pollster	Dem
42.0	48.0			10.0	nbc-wsj-marist-24059	NBC/WSJ/Marist	2016-03-04	2016-03-10		Registered Voters	2052	2.2	Live Phone	Nonpartisan	None
40.0	45.0			15.0	ppp-d-24043	PPP (D)	2016-03-04	2016-03-06		Likely Voters	1248	2.8	Automated Phone	Pollster	Dem
43.0	50.0		6.0	0.0	cnn-24022	CNN	2016-03-02	2016-03-06		Registered Voters	884	3.5	Live Phone	Nonpartisan	None
44.0	42.0		2.0	12.0	quinnipiac-23851	Quinnipiac	2016-02-16	2016-02-20		Registered Voters	1539	2.5	Live Phone	Nonpartisan	None
39.0	37.0		20.0	4.0	baldwin-wallace-university-23879	Baldwin Wallace University	2016-02-11	2016-02-20		Likely Voters	825	3.4	Internet	Nonpartisan	None
42.0	43.0		3.0	12.0	quinnipiac-22861	Quinnipiac	2015-09-25	2015-10-05		Registered Voters	1180	2.9	Live Phone	Nonpartisan	None
38.0	43.0		4.0	16.0	quinnipiac-22583	Quinnipiac	2015-08-07	2015-08-18		Registered Voters	1096	3.0	Live Phone	Nonpartisan	None
