Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
33.0	45.0	18.0	1.0	2.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	892		Internet	Nonpartisan	None
44.0	50.0		5.0		upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	322		Internet	Nonpartisan	None
35.0	43.0	19.0	2.0	1.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	1141		Internet	Nonpartisan	None
34.0	42.0	20.0	2.0	2.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	1175		Internet	Nonpartisan	None
34.0	41.0	21.0	2.0	2.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	1095		Internet	Nonpartisan	None
33.0	41.0	22.0	3.0	1.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	958		Internet	Nonpartisan	None
44.0	51.0		5.0		upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	320		Internet	Nonpartisan	None
44.0	51.0		6.0		upi-cvoter-26319	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	324		Internet	Nonpartisan	None
39.0	50.0			10.0	washpost-surveymonkey-26241	WashPost/SurveyMonkey	2016-10-08	2016-10-16		Likely Voters	889		Internet	Nonpartisan	None
33.0	41.0	18.0	5.0	2.0	washpost-surveymonkey-26241	WashPost/SurveyMonkey	2016-10-08	2016-10-16		Likely Voters	889		Internet	Nonpartisan	None
36.0	44.0			20.0	ipsos-reuters-26344	Ipsos/Reuters	2016-09-23	2016-10-13		Likely Voters	263		Internet	Nonpartisan	None
43.0	51.0		6.0		upi-cvoter-26056	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	330		Internet	Nonpartisan	None
36.0	49.0			15.0	ipsos-reuters-26123	Ipsos/Reuters	2016-09-16	2016-10-06		Likely Voters	263		Internet	Nonpartisan	None
33.0	46.0	14.0	4.0	3.0	surveyusa-kob-tv-25972	SurveyUSA/KOB-TV	2016-09-28	2016-10-02		Likely Voters	594	4.1	IVR/Online	Nonpartisan	None
45.0	50.0		5.0		upi-cvoter-25928	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	507		Internet	Nonpartisan	None
34.0	44.0		14.0	8.0	albuquerque-journal-research-polling-25959	Albuquerque Journal/Research & Polling	2016-09-27	2016-09-29		Likely Voters	501	4.4	Live Phone	Nonpartisan	None
31.0	35.0	24.0	3.0	6.0	albuquerque-journal-research-polling-25959	Albuquerque Journal/Research & Polling	2016-09-27	2016-09-29		Likely Voters	501	4.4	Live Phone	Nonpartisan	None
45.0	50.0		6.0		upi-cvoter-25762	UPI/CVOTER	2016-09-12	2016-09-25		Likely Voters	488		Internet	Nonpartisan	None
37.0	51.0			13.0	washpost-surveymonkey-25381	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	1788		Internet	Nonpartisan	None
29.0	37.0	25.0	5.0	4.0	washpost-surveymonkey-25381	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	1788		Internet	Nonpartisan	None
31.0	40.0	16.0	4.0	9.0	ppp-d-nm-political-report-25266	PPP (D)/NM Political Report	2016-08-19	2016-08-21	If the candidates for President this fall were Democrat Hillary Clinton, Republican Donald Trump and Libertarian Gary Johnson, who would you vote for?	Likely Voters	1103	3.0	IVR/Online	Pollster	Dem
33.0	41.0	14.0		12.0	ppp-d-nm-political-report-24939	PPP (D)/NM Political Report	2016-05-13	2016-05-15	If the candidates for President this fall were Democrat Hillary Clinton, Republican Donald Trump and Libertarian Gary Johnson, who would you vote for?	Likely Voters	802	3.5	Automated Phone	Pollster	Dem
